dataset,pe_type,seed,task_rho_rel_heldout,random_rho_rel_heldout_median,task_delta_ce,random_delta_ce_median,task_damage_efficiency_actual_rho,random_damage_efficiency_actual_rho_median,damage_efficiency_gap_task_minus_random,task_functional_gain,random_functional_gain_median,task_to_random_functional_gain_ratio
imagenet,alibi,789,0.02893575896255147,0.029986444905112524,-0.011575830169022083,-0.013417611364275217,-0.40005275769691995,-0.448470364885159,0.048417607188239065,4.846438907128516,4.426437473399776,1.0948847546707021
cifar,learned,456,0.02780061488614453,0.028670029894173315,-0.0019066035747528076,-0.0011249035596847534,-0.06858134550480875,-0.03964438032566417,-0.028936965179144583,38.9380676968534,7.014193482276559,5.551325009103611
cifar,learned,789,0.027010608913388,0.02788846078139745,-0.0019095838069915771,0.0014224648475646973,-0.07069754751234351,0.05092048036799503,-0.12161802788033854,41.720475306456244,7.9227158781968505,5.265931020102604
cifar,sinusoidal,456,0.027243184877938354,0.029004419855006392,0.018026024103164673,-8.064508438110352e-05,0.6616709530816356,-0.0027868208142994445,0.6644577738959351,9.51879542389159,2.6873434878246467,3.5420836476683046
cifar,sinusoidal,789,0.027498187054474457,0.02890966444282114,0.012080162763595581,8.589774370193481e-05,0.43930760743115677,0.002850211064924577,0.4364573963662322,9.484104521982015,2.6962211520109287,3.517554379731968
cifar,rope,456,0.030523033717159535,0.03012684699570993,0.02397039532661438,0.0035863518714904785,0.7853215230417488,0.11901925086304287,0.666302272178706,5.057370389258384,2.537956703077964,1.992693722128886
cifar,rope,789,0.030123925399009363,0.030060044303903424,0.02565091848373413,0.0009966790676116943,0.8515131459121749,0.03317562810690662,0.8183375178052682,3.5327787737622742,2.4702586926408485,1.430125024673238
cifar,alibi,456,0.029821576715978806,0.02979904344416623,0.031179174780845642,0.00862053781747818,1.0455240203359004,0.2886260110836104,0.75689800925229,4.374619650184782,4.392006167236389,0.9960413268129477
cifar,alibi,789,0.02957091395106783,0.02972268729086497,0.03302651643753052,0.002813979983329773,1.116858156368816,0.09471365828508616,1.0221444980837298,4.5611009400068925,4.366670462973312,1.0445260247326267
imagenet,learned,1011,0.02832343616130626,0.03010361354129319,0.010997449979186058,0.0028850757516920567,0.38828092455145324,0.09612594146129656,0.2921549830901567,39.4847831847973,2.7948269817699227,14.127809500319112
imagenet,learned,1213,0.02834912775046623,0.02988111315278297,0.02258121222257614,0.008641379419714212,0.7965399295999424,0.28835526848700066,0.5081846611129417,41.52584155608935,2.7354725035383036,15.180500444576257
imagenet,sinusoidal,1011,0.03204869754788131,0.03163402154701353,0.24166390765458345,0.0007663613650947809,7.540521960168065,0.02382194656529185,7.516700013602773,3.6440311933008003,2.2879387067017776,1.5927136433448972
imagenet,sinusoidal,1213,0.031126933352422656,0.0306248554221771,0.2394341160543263,-0.0005648755468428135,7.692184557451458,-0.018502936182163213,7.710687493633621,3.2015577894884144,2.238878452572323,1.4299828495870497
imagenet,rope,1011,0.029885361587592155,0.030045036038236248,-0.00434701144695282,-7.77081586420536e-05,-0.14545621053344115,-0.002589259561277985,-0.14286695097216318,3.2528479835338158,2.660049495300415,1.2228524278517054
imagenet,rope,1213,0.03247927934350134,0.030870180943316235,0.00957536231726408,0.0011678915470838547,0.2948144943733174,0.03761601361371372,0.2571984807596037,3.7950990139259364,3.102201846556148,1.223356571120282
imagenet,alibi,1011,0.030670655553907786,0.02996333576271544,-0.09446835145354271,0.004544002003967762,-3.080089086700541,0.14906469128938601,-3.229153777989927,4.653608194170253,4.479423798915536,1.0388854466721562
imagenet,alibi,1213,0.029470244220461815,0.02997091471346123,0.03167044743895531,-0.016205620486289263,1.0746584657403635,-0.5362365917249439,1.6108950574653074,4.715113921638511,4.5421509989319055,1.0380795184368106
cifar,learned,1011,0.02694565636100094,0.02832776207703251,0.0037951022386550903,0.000531613826751709,0.1408428203718885,0.019033694869010558,0.12180912550287794,50.21949550248646,8.24641098442341,6.08986086157308
cifar,learned,1213,0.027912139761618854,0.02889381749735722,0.002978608012199402,-0.002079218626022339,0.1067137108669539,-0.0717309305003957,0.1784446413673496,43.62159182687787,7.224637813360504,6.037893241680375
cifar,sinusoidal,1011,0.026980411625809237,0.02871378308815017,0.011939004063606262,1.8283724784851074e-05,0.4425063720001036,0.0006426241718573734,0.4418637478282462,9.114714821989523,2.632590714400687,3.4622604919673208
cifar,sinusoidal,1213,0.02762456479630051,0.02903585833307149,0.01969769597053528,0.0037456676363945007,0.7130500015396877,0.1293260737075301,0.5837239278321575,9.30782897484735,2.7287257814232495,3.411053260907943
cifar,rope,1011,0.030922323465829182,0.030210019062073462,0.019196659326553345,0.0007404237985610962,0.6208026168462625,0.024487213144082823,0.5963154037021796,6.090970869469877,2.5371395298524555,2.4007236487400005
cifar,rope,1213,0.030083538395193635,0.03008331558410367,-0.017588555812835693,0.0004746764898300171,-0.584657149760208,0.015775389401398603,-0.6004325391616065,3.4884233703160548,2.3742692450706544,1.4692619118739605
cifar,alibi,1011,0.02966938752766843,0.029725515490925957,0.014227956533432007,0.0041018202900886536,0.47955005879927953,0.13740319351363695,0.3421468652856426,4.585370665122798,4.399006327232556,1.0423650988489224
cifar,alibi,1213,0.02978632590170787,0.029818122097821722,0.02647310495376587,-0.0005162060260772705,0.888767048380679,-0.017323312336132067,0.906090360716811,4.299195520878027,4.337815212661134,0.9910969716574407
