architecture,training_seed,budget,objective,selection,restart,attack_loss,accuracy_pct,normalized_accuracy,rho_abs,rho_rel_calibration,n_eff,max_layer_share,dominant_layer,entropy_normalized,identity_relative_error,c_L1,c_L2,c_L3,c_L4,c_L5,c_L6,c_L7,c_L8,c_L9,c_L10,c_L11,c_L12
vits,42,0.02,task_loss,loss_selected,1,7.512417298555374,1.7032332563510393,0.021556448666423093,0.10911431646822824,0.07945296773258853,10.977867962335463,0.1210728314799415,4,0.9770826694289344,0.0,0.01866386838634216,0.07410025020738106,0.07942673433425869,0.1210728314799415,0.08120687583198119,0.0896542307775572,0.09807295901641268,0.10258288797283868,0.10008495312710472,0.10503028999657378,0.06521461345384767,0.06488950541576068
vits,42,0.02,task_loss,rho_selected,3,7.5121064484119415,1.7032332563510393,0.021556448666423093,0.10915611875506015,0.07948340659573964,10.978454255903442,0.12111778605186532,4,0.9770874522778129,1.4559085133116638e-16,0.01864629330020825,0.07408480685160666,0.07953195433049796,0.12111778605186532,0.08135613790247624,0.08971506755071776,0.09809153421675255,0.10246645219865996,0.10003496464486196,0.10489094793639936,0.06517328247619411,0.06489077253975986
vits,42,0.009,task_loss,loss_selected,2,4.3252764120697975,10.969976905311778,0.13883814395323346,0.12362570872838839,0.09001962129667113,9.25918330701929,0.19610776664574442,4,0.9403754113177893,1.135043921114204e-16,0.009400248943375754,0.06382094919951842,0.05720205456434932,0.19610776664574442,0.11085085720531795,0.11324675209300013,0.12209709137639702,0.07322207497811811,0.07183082812956927,0.07659205896703125,0.044992340356543606,0.060636977541034684
vits,42,0.009,task_loss,rho_selected,0,4.325222037732601,10.969976905311778,0.13883814395323346,0.12362827547112898,0.09002149030281759,9.25857282502147,0.19613985068074147,4,0.9403638121582439,0.0,0.009399974405444508,0.06381686377774402,0.057197728573953534,0.19613985068074147,0.1108497545049384,0.1132386173186897,0.12209248337368786,0.07322179059345772,0.07182884853109477,0.0765898261676317,0.044990705359909997,0.06063355671270627
vitb,456,0.01,task_loss,loss_selected,4,3.5690656810998918,22.92147806004619,0.28226093138997516,0.13475148944097176,0.09835223819468865,8.216363224303207,0.166369159863281,2,0.9026493806474293,1.91070263703968e-16,0.009421064123045546,0.166369159863281,0.15145022977724246,0.14150540966476993,0.15273542805191498,0.1303182718826031,0.04395809815204308,0.05137827038802356,0.040786944180028685,0.034866230125719225,0.027720873361273303,0.049490020430055126
vitb,456,0.01,task_loss,rho_selected,4,3.5690656810998918,22.92147806004619,0.28226093138997516,0.13475148944097176,0.09835223819468865,8.216363224303207,0.166369159863281,2,0.9026493806474293,1.91070263703968e-16,0.009421064123045546,0.166369159863281,0.15145022977724246,0.14150540966476993,0.15273542805191498,0.1303182718826031,0.04395809815204308,0.05137827038802356,0.040786944180028685,0.034866230125719225,0.027720873361273303,0.049490020430055126
vitb,456,0.02,task_loss,loss_selected,4,7.030706480145454,1.5011547344110854,0.01848560255954497,0.13388033123793647,0.09771639840215175,9.404957161830009,0.1557901495541148,2,0.9404288006140433,1.9356493903557744e-16,0.01153286934849918,0.1557901495541148,0.1263204495366922,0.11654426136929476,0.1419234076538003,0.11573712396855763,0.051141155264192634,0.0725557906640295,0.05425395328552332,0.05783131114694893,0.05238695455609307,0.04398257365225372
vitb,456,0.02,task_loss,rho_selected,3,7.030677622556686,1.5011547344110854,0.01848560255954497,0.13388214541558155,0.09771772253172255,9.404908580445678,0.1557924811406711,2,0.9404275602585341,0.0,0.011532718236405847,0.1557924811406711,0.12632212183548683,0.1165447866725644,0.14192260420444203,0.11573642062916452,0.051140848711132426,0.07255525048125896,0.054253961632917735,0.05783065753209974,0.05238564120682347,0.043982507717032916
vitb,456,0.015,task_loss,loss_selected,4,6.167097201943397,2.9445727482678983,0.036260220405261286,0.1337636004858221,0.09763119911578967,8.926202137691014,0.15442754748859688,2,0.925802734160606,0.0,0.009610538416685232,0.15442754748859688,0.1363496030757675,0.12736423819230094,0.1500453020745597,0.1244019553184159,0.04895308712076742,0.06722471304039994,0.05072085723647342,0.050974173477636324,0.04175507439160042,0.03817291016679628
vitb,456,0.015,task_loss,rho_selected,0,6.167079612612724,2.9445727482678983,0.036260220405261286,0.13376397268295526,0.09763147077453904,8.926192152774245,0.15442607244764248,2,0.9258022077852334,0.0,0.00961020436848928,0.15442607244764248,0.13634936981010734,0.12736485899603694,0.15004648428973658,0.12440261036386824,0.04895287637201837,0.06722483659810721,0.0507210601673904,0.050974096618768304,0.04175521535654268,0.03817231461129218
vitb,456,0.009,task_loss,loss_selected,0,2.6454206459224223,40.58891454965358,0.4998222538215429,0.1269482475968495,0.09265681839838232,7.945208644166734,0.16606281219577626,2,0.892520151824356,2.152815596274432e-16,0.010051456806320028,0.16606281219577626,0.155051096751317,0.14476267353782932,0.16136442939623555,0.13426029994422817,0.0424870906141572,0.04777564204391328,0.03750697261743074,0.031315108928102305,0.02367889873522532,0.045683518429464845
vitb,456,0.009,task_loss,rho_selected,4,2.645390398800373,40.58891454965358,0.4998222538215429,0.12694843616692542,0.09265695603165894,7.945203345152301,0.16606309584606077,2,0.8925199909164035,2.1528092006651404e-16,0.010051617092320764,0.16606309584606077,0.15505135818565344,0.14476234656242212,0.16136410005372992,0.13426087958293167,0.042487267446830713,0.047775302439889825,0.03750722154502803,0.031314733704998085,0.02367880709502479,0.04568327044510986
vitb,1011,0.01,task_loss,loss_selected,0,3.940337046980858,18.793302540415706,0.22850122850122853,0.13051359044628819,0.09361644256920684,6.856034570023292,0.29760607267479583,3,0.8815635547793548,0.0,0.006540184365649819,0.045790605071139696,0.29760607267479583,0.08279840791843782,0.1406102589773128,0.09879051178005475,0.06982458686417362,0.06376196733869942,0.05868301240627648,0.04054667855836141,0.03713712274367614,0.057910591301422176
vitb,1011,0.01,task_loss,rho_selected,0,3.940337046980858,18.793302540415706,0.22850122850122853,0.13051359044628819,0.09361644256920684,6.856034570023292,0.29760607267479583,3,0.8815635547793548,0.0,0.006540184365649819,0.045790605071139696,0.29760607267479583,0.08279840791843782,0.1406102589773128,0.09879051178005475,0.06982458686417362,0.06376196733869942,0.05868301240627648,0.04054667855836141,0.03713712274367614,0.057910591301422176
vitb,1011,0.02,task_loss,loss_selected,1,7.38474991619587,2.0496535796766744,0.024921024921024923,0.13369023892709359,0.09589502925929,7.354100857463716,0.2891758832230588,3,0.9030735904206466,1.9411578502334509e-16,0.008035990897989348,0.05905577045168431,0.2891758832230588,0.07322703780115362,0.11090988934083001,0.08216168019518512,0.067250602271158,0.07273380962798473,0.07622895476561051,0.053772834122689246,0.046573686708324506,0.060873860594331794
