dataset,family,seed,draw_seed,budget,rho,accuracy,source
cifar,learned,42,1763599044,0.05,0.38315444818729577,0.9728522336769758,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,299045659,0.0025,0.018174166854712293,0.9994845360824742,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,299045659,0.005,0.03664789129502392,1.0005154639175258,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,299045659,0.01,0.0754298098831897,1.0003436426116838,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,299045659,0.015,0.11679384200527371,0.9986254295532646,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,299045659,0.02,0.15929601627928874,0.9970790378006873,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,299045659,0.03,0.24159580552278953,0.9903780068728523,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,299045659,0.04,0.3167392263978711,0.9823024054982818,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,299045659,0.05,0.38405508255177884,0.9706185567010308,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,1129524128,0.0025,0.015098649519254055,0.9991326973113617,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,1129524128,0.005,0.030495492333354895,0.999479618386817,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,1129524128,0.01,0.06318179551262143,0.9960104076322637,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,1129524128,0.015,0.09874186408166613,0.9951431049436253,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,1129524128,0.02,0.13622987955464091,0.9908065915004337,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,1129524128,0.03,0.21046438015924449,0.9842150910667822,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,1129524128,0.04,0.27834767562136786,0.9764093668690372,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,1129524128,0.05,0.33956539289769244,0.9640936686903729,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,1618910425,0.0025,0.015471707017539648,1.0006938421509106,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,1618910425,0.005,0.031159713031371068,1.0013876843018212,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,1618910425,0.01,0.0640860493401715,1.0013876843018212,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,1618910425,0.015,0.09962284942018704,0.9998265394622723,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,1618910425,0.02,0.13707291620007325,0.9972246313963573,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,1618910425,0.03,0.21115910533790969,0.9913269731136167,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,1618910425,0.04,0.2786588977709368,0.9887250650477017,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,1618910425,0.05,0.33955391622888254,0.9750216825672159,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,179672207,0.0025,0.015339999161563363,1.0,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,179672207,0.005,0.030990068814346218,1.0,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,179672207,0.01,0.06423660035882553,0.9982653946227233,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,179672207,0.015,0.10058034154806486,0.9956634865568084,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,179672207,0.02,0.1389770814567877,0.993235039028621,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,179672207,0.03,0.21439210081339702,0.9864700780572421,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,179672207,0.04,0.2825524035504496,0.9750216825672159,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,179672207,0.05,0.343903956764256,0.9656548135299219,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,193161432,0.0025,0.016159208669525058,1.0001734605377277,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,193161432,0.005,0.03250419983789449,0.9996530789245447,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,193161432,0.01,0.06672162116684624,0.9982653946227233,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,193161432,0.015,0.10352089455658174,0.9961838681699914,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,193161432,0.02,0.1420469027203061,0.993235039028621,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,193161432,0.03,0.21825872784527045,0.989071986123157,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,193161432,0.04,0.28751085112266106,0.9800520381613181,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,193161432,0.05,0.3496497348543493,0.9701647875108412,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,1322018208,0.0025,0.015514590961732124,1.0008673026886383,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,1322018208,0.005,0.03123885632389028,1.001561144839549,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,1322018208,0.01,0.06421108906119563,1.0012142237640937,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,1322018208,0.015,0.09974495326792956,1.0019080659150044,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
