dataset,family,seed,regime,point_index,rho,accuracy,exact_clean_anchor,adversarial_lower_envelope
imagenet,learned,1213,adversarial_raw,7,0.14000343831709025,0.9640261627906975,False,False
imagenet,learned,1213,adversarial_raw,8,0.15420556028289492,0.37754360465116277,False,False
imagenet,learned,1213,adversarial_raw,9,0.16308414603987287,0.9451308139534882,False,False
imagenet,learned,1213,adversarial_raw,10,0.18344720973461706,0.929142441860465,False,False
imagenet,sinusoidal,42,noise,0,0.0,1.0,True,False
imagenet,sinusoidal,42,noise,1,0.008087899594080527,0.9993295695130557,False,False
imagenet,sinusoidal,42,noise,2,0.020336234505195217,0.9986591390261115,False,False
imagenet,sinusoidal,42,noise,3,0.0414763892130177,0.9989767113620325,False,False
imagenet,sinusoidal,42,noise,4,0.08694601293286845,0.999894142554693,False,False
imagenet,sinusoidal,42,noise,5,0.18115542909399895,0.9929781227946364,False,False
imagenet,sinusoidal,42,adversarial,0,0.0,1.0,True,True
imagenet,sinusoidal,42,adversarial,1,0.006677460320696461,0.9904728299223712,False,True
imagenet,sinusoidal,42,adversarial,2,0.02232142756403102,0.9650670430486943,False,True
imagenet,sinusoidal,42,adversarial,3,0.04029595845772871,0.936485532815808,False,True
imagenet,sinusoidal,42,adversarial,4,0.06193270764730229,0.8362738179251941,False,True
imagenet,sinusoidal,42,adversarial,5,0.07824530995448441,0.5885673959068454,False,True
imagenet,sinusoidal,42,adversarial,6,0.08740585671286598,0.33521524347212417,False,True
imagenet,sinusoidal,42,adversarial,7,0.09376408601574558,0.176076217360621,False,True
imagenet,sinusoidal,42,adversarial,8,0.09867487214415757,0.02258292166549047,False,True
imagenet,sinusoidal,42,adversarial_raw,0,0.0,1.0,True,False
imagenet,sinusoidal,42,adversarial_raw,1,0.006677460320696461,0.9904728299223712,False,False
imagenet,sinusoidal,42,adversarial_raw,2,0.02232142756403102,0.9650670430486943,False,False
imagenet,sinusoidal,42,adversarial_raw,3,0.04029595845772871,0.936485532815808,False,False
imagenet,sinusoidal,42,adversarial_raw,4,0.06193270764730229,0.8362738179251941,False,False
imagenet,sinusoidal,42,adversarial_raw,5,0.07824530995448441,0.5885673959068454,False,False
imagenet,sinusoidal,42,adversarial_raw,6,0.08740585671286598,0.33521524347212417,False,False
imagenet,sinusoidal,42,adversarial_raw,7,0.09376408601574558,0.176076217360621,False,False
imagenet,sinusoidal,42,adversarial_raw,8,0.09867487214415757,0.02258292166549047,False,False
imagenet,sinusoidal,123,noise,0,0.0,1.0,True,False
