dataset,family,seed,budget,rho,accuracy,attack_loss,source_class,source
cifar,rope,789,0.3,0.3639902700664418,0.0332846241272934,6.168500828742981,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_rope.json
cifar,sinusoidal,456,0.0025,0.01854113795579203,0.9952203929899097,1.5528721809387207,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_sinusoidal.json
cifar,sinusoidal,456,0.005,0.03552537367363212,0.9892016286068331,1.6205721855163575,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_sinusoidal.json
cifar,sinusoidal,456,0.0075,0.05670514222727936,0.9493715701894142,1.740867054462433,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_sinusoidal.json
cifar,sinusoidal,456,0.01,0.13406026460046674,0.7833244822092406,2.2043383002281187,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_sinusoidal.json
cifar,sinusoidal,456,0.0125,0.21917689826131997,0.2894317578332449,3.8876005172729493,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_sinusoidal.json
cifar,sinusoidal,456,0.015,0.2641141946751578,0.07452646486103735,4.796460723876953,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_sinusoidal.json
cifar,sinusoidal,789,0.0025,0.018000819443114074,0.9956354748603352,1.4348721861839295,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_sinusoidal.json
cifar,sinusoidal,789,0.005,0.03427900490785086,0.9851606145251395,1.5118217170238495,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_sinusoidal.json
cifar,sinusoidal,789,0.0075,0.0627032836278353,0.9450069832402234,1.6592450082302093,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_sinusoidal.json
cifar,sinusoidal,789,0.01,0.12043178675785403,0.8051675977653631,2.0790123641490936,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_sinusoidal.json
cifar,sinusoidal,789,0.0125,0.2602207505849142,0.3161662011173184,3.770298457145691,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_sinusoidal.json
cifar,sinusoidal,789,0.015,0.27855996664606547,0.10405027932960893,4.847186422348022,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_sinusoidal.json
cifar,alibi,1011,0.005,0.02248637547702749,0.9945964789959909,1.4036440193653106,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/attacks_alibi.json
cifar,alibi,1011,0.01,0.04488989147704865,0.9806519086630642,1.453317505121231,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/attacks_alibi.json
cifar,alibi,1011,0.025,0.11045109732053886,0.8910580442740108,1.742423015832901,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/attacks_alibi.json
cifar,alibi,1011,0.05,0.2157870038735783,0.6292487362733135,2.623007822036743,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/attacks_alibi.json
cifar,alibi,1011,0.075,0.32768727005144166,0.4007320899424786,3.550428736209869,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/attacks_alibi.json
cifar,alibi,1011,0.1,0.44439277716551384,0.183371099877985,4.18800675868988,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/attacks_alibi.json
cifar,alibi,1011,0.15,0.6523238111736106,0.09639184242635522,4.55800461769104,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/attacks_alibi.json
cifar,alibi,1213,0.005,0.02204800471872518,0.9958085923856095,1.436214843392372,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/attacks_alibi.json
cifar,alibi,1213,0.01,0.044067792194176454,0.9905693328676212,1.4764737784862518,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/attacks_alibi.json
cifar,alibi,1213,0.025,0.10871392649831502,0.9053440447083478,1.731724464893341,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/attacks_alibi.json
cifar,alibi,1213,0.05,0.21344669683532086,0.6570031435557107,2.5835031807422637,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/attacks_alibi.json
cifar,alibi,1213,0.075,0.31909136571673363,0.43154034229828847,3.391657567024231,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/attacks_alibi.json
cifar,alibi,1213,0.1,0.4403501337943987,0.2556758644778204,3.8513519167900085,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/attacks_alibi.json
cifar,alibi,1213,0.15,0.6370521726969348,0.03772266852951449,5.0390502452850345,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/attacks_alibi.json
cifar,learned,1011,0.00125,0.07442540852578097,0.9957983193277311,1.5439682602882385,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/attacks_learned.json
cifar,learned,1011,0.0025,0.13173123673241702,0.9810924369747898,1.6444036364555359,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/attacks_learned.json
cifar,learned,1011,0.00375,0.12912997802296336,0.6715686274509803,2.451423978805542,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/attacks_learned.json
cifar,learned,1011,0.005,0.18751522352866282,0.26715686274509803,3.812046301364899,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/attacks_learned.json
cifar,learned,1011,0.0075,0.24231046748890803,0.06442577030812324,5.0485249042510985,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/attacks_learned.json
cifar,learned,1011,0.01,0.30438644276469023,0.035889355742296916,5.586594820022583,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/attacks_learned.json
cifar,learned,1213,0.00125,0.051897406352108974,0.9970264124540843,1.599933737516403,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/attacks_learned.json
cifar,learned,1213,0.0025,0.10018906429226532,0.9849571453559558,1.6911188662052155,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/attacks_learned.json
cifar,learned,1213,0.00375,0.07527973466347541,0.8892775931432568,1.8934774279594422,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/attacks_learned.json
cifar,learned,1213,0.005,0.15950870589656516,0.6148329543466853,2.7578662514686583,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/attacks_learned.json
cifar,learned,1213,0.0075,0.27652080432351916,0.04582823158999475,5.501055312156677,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/attacks_learned.json
cifar,learned,1213,0.01,0.35188153501944736,0.01591743921637222,6.327500534057617,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/attacks_learned.json
cifar,rope,1011,0.025,0.17321578514065006,0.9497170573969281,1.3689026176929473,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/attacks_rope.json
cifar,rope,1011,0.05,0.2761726787999677,0.8195634599838318,1.8441465556621552,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/attacks_rope.json
cifar,rope,1011,0.075,0.30054783525826195,0.6672594987873889,2.4087796330451967,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/attacks_rope.json
cifar,rope,1011,0.1,0.2982465803283215,0.4813257881972515,3.0410045266151426,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/attacks_rope.json
cifar,rope,1011,0.15,0.28573290554776154,0.1535974130962005,4.5922657489776615,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/attacks_rope.json
cifar,rope,1011,0.2,0.2696076810599597,0.05044462409054164,5.616881585121154,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/attacks_rope.json
cifar,rope,1011,0.3,0.42521201937714925,0.029587712206952305,6.069007658958435,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/attacks_rope.json
cifar,rope,1213,0.025,0.08242129587295055,0.9694075752670769,1.2864239752292632,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/attacks_rope.json
cifar,rope,1213,0.05,0.13785706553785015,0.882648106183231,1.5437341690063477,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/attacks_rope.json
cifar,rope,1213,0.075,0.1542357159243316,0.7635157008740694,2.010256916284561,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/attacks_rope.json
cifar,rope,1213,0.1,0.16539972454028232,0.529944966008417,2.8474929094314576,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/attacks_rope.json
cifar,rope,1213,0.15,0.18388446177934706,0.14211719002913567,4.729730153083802,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/attacks_rope.json
cifar,rope,1213,0.2,0.20788577854997584,0.06037552606021367,5.738287901878357,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/attacks_rope.json
cifar,rope,1213,0.3,0.3805750851278891,0.033667853674328264,6.38898458480835,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/attacks_rope.json
cifar,sinusoidal,1011,0.0025,0.015711453219890828,0.9935042134831459,1.5104988873004914,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/attacks_sinusoidal.json
cifar,sinusoidal,1011,0.005,0.03047440258024448,0.9812148876404493,1.583678847551346,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/attacks_sinusoidal.json
cifar,sinusoidal,1011,0.0075,0.07406715374442488,0.9350421348314606,1.744477117061615,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/attacks_sinusoidal.json
cifar,sinusoidal,1011,0.01,0.1310922016358139,0.7220856741573033,2.4015648484230043,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/attacks_sinusoidal.json
cifar,sinusoidal,1011,0.0125,0.1946131811749182,0.25983146067415724,4.1482655763626095,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/attacks_sinusoidal.json
cifar,sinusoidal,1011,0.015,0.23643111649684653,0.08391853932584269,4.978323030471802,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/attacks_sinusoidal.json
cifar,sinusoidal,1213,0.0025,0.019232128785032915,0.9957850368809271,1.4814100742340088,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/attacks_sinusoidal.json
