dataset,family,seed,budget,rho,accuracy,n_draws,rho_sd_across_draws,accuracy_sd_across_draws,sources
cifar,alibi,1213,0.15,0.6419019197253918,0.48222144603562694,10,0.002780109587410168,0.11725942503431286,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/noise_all_families.json
cifar,alibi,1213,0.2,0.8522208410526586,0.3470485504715333,10,0.0024841614090353507,0.13028910542921568,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/noise_all_families.json
cifar,learned,42,0.0025,0.017973789024490403,0.9991752577319588,10,0.00048653649578024523,0.0004114154638274435,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,0.005,0.036220727637048436,0.999106529209622,10,0.0009404423423550306,0.0009120746500524313,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,0.01,0.07457499139181298,0.9984364261168384,10,0.0018062469855687896,0.001229586580476458,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,0.015,0.11586277808208294,0.9966494845360824,10,0.0025300100144802257,0.0013703878710200864,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,0.02,0.1587534017886676,0.9949828178694158,10,0.0030203843228926246,0.001916404603931084,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,0.03,0.24211017275740915,0.9890721649484536,10,0.0035077785656332317,0.0018668085944983542,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,0.04,0.31764563539198964,0.9806357388316151,10,0.0036829568757332193,0.002797693159632251,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,0.05,0.38492863887196604,0.9694845360824742,10,0.0037215078772799845,0.002768403307370826,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,0.0025,0.015436698662788281,1.0001734605377277,10,0.00042884480073654494,0.0006008849289050523,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,0.005,0.031143780445150517,1.0005030355594102,10,0.0008248316467135485,0.0008072078063158431,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,0.01,0.06432871897704426,0.9990112749349522,10,0.0014952501580760334,0.0016638754962435306,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,0.015,0.1004007015948446,0.9980919340849956,10,0.0020384469109868027,0.00245037526457554,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,0.02,0.1384753594953218,0.9958542931483088,10,0.002470507675059064,0.003406437964902644,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,0.03,0.2137715041888777,0.989748482220295,10,0.003208014974768969,0.0034172166184686494,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,0.04,0.28223113966884816,0.9818733738074588,10,0.0037928726804180688,0.004335549666439453,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,0.05,0.34382864759492227,0.9703902862098872,10,0.004220102562324945,0.00400427179865205,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,456,0.0025,0.014628024282253242,1.0004880599616524,10,0.0006011412405020522,0.00046336417494340944,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/noise_all_families.json
cifar,learned,456,0.005,0.02946111335287941,1.0001743071291616,10,0.0011953497386886145,0.0009791586512319021,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/noise_all_families.json
cifar,learned,456,0.01,0.06053215449640502,0.9999477078612514,10,0.0023151014763136356,0.0014398373796034767,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/noise_all_families.json
cifar,learned,456,0.015,0.09399038884879103,1.0005229213874849,10,0.003258961363639311,0.0015676878232795495,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/noise_all_families.json
cifar,learned,456,0.02,0.12934182829932891,0.9995816628900123,10,0.0040146201496124795,0.0018062271084980837,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/noise_all_families.json
cifar,learned,456,0.03,0.20107706742423326,0.9975248387659056,10,0.0051040622037510615,0.0023048415201046037,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/noise_all_families.json
cifar,learned,456,0.04,0.26887655737392047,0.9907442914415199,10,0.005841285274988313,0.002846957154216084,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/noise_all_families.json
cifar,learned,456,0.05,0.33074285481058646,0.9791354366393584,10,0.006364095388640347,0.0023843929733731815,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/noise_all_families.json
cifar,learned,789,0.0025,0.01693387412219411,0.9995455339975529,10,0.0005861996034932753,0.0006498557824901861,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/noise_all_families.json
cifar,learned,789,0.005,0.034077554188212185,0.9992134242265338,10,0.0011782403603134664,0.0010266859049528397,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/noise_all_families.json
cifar,learned,789,0.01,0.06966645205706418,0.999160985841636,10,0.0020898444606830785,0.0012409186750077985,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/noise_all_families.json
cifar,learned,789,0.015,0.1072886303481592,0.9983219716832721,10,0.0026378349972915804,0.0020136393749617706,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/noise_all_families.json
cifar,learned,789,0.02,0.14591227345415742,0.9969760531375634,10,0.002989288502282706,0.0018425891569648172,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/noise_all_families.json
cifar,learned,789,0.03,0.22103246728970252,0.9911903513371787,10,0.003138381056345164,0.0015811158322517529,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/noise_all_families.json
cifar,learned,789,0.04,0.29041727733015377,0.9830798811396608,10,0.0031066291341355135,0.0026339331274153896,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/noise_all_families.json
cifar,learned,789,0.05,0.35415062531549274,0.9708442579968537,10,0.0030725976301268086,0.002763499874433448,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/noise_all_families.json
cifar,learned,1011,0.0025,0.0187098392542508,1.0003676470588236,10,0.00033301409418058913,0.0007309741489319181,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/noise_all_families.json
cifar,learned,1011,0.005,0.037578754221388046,1.0014005602240896,10,0.0005549392412502742,0.0008294042018879462,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/noise_all_families.json
cifar,learned,1011,0.01,0.0768174358569362,1.0020833333333334,10,0.001098010747471807,0.0011537809969013524,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/noise_all_families.json
cifar,learned,1011,0.015,0.11794557457640313,1.003046218487395,10,0.0018418435939979193,0.0016239521130649883,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/noise_all_families.json
cifar,learned,1011,0.02,0.1592338495564953,1.002766106442577,10,0.0022998439150067377,0.0018995972024625288,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/noise_all_families.json
cifar,learned,1011,0.03,0.23768060670764787,1.0005252100840336,10,0.002745257697156212,0.0015788689610724362,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/noise_all_families.json
cifar,learned,1011,0.04,0.30838533397323864,0.9916666666666665,10,0.0030722288591931456,0.002397884267263847,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/noise_all_families.json
cifar,learned,1011,0.05,0.372300580512422,0.9783963585434172,10,0.0033052345970268474,0.003080436617356119,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/noise_all_families.json
cifar,learned,1213,0.0025,0.01547214990371579,0.9999125415427672,10,0.000428362437078769,0.0005485070177315531,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/noise_all_families.json
