dataset,family,regime,rho,mean_accuracy,sd_accuracy,low_accuracy,high_accuracy
imagenet,learned,noise,0.0087875,0.9998858877053078,0.0005485459789746868,0.9993373417263332,1.0004344336842825
imagenet,learned,noise,0.009025,0.9998792765214016,0.0005459133290895482,0.999333363192312,1.0004251898504912
imagenet,learned,noise,0.0092625,0.9998726653374952,0.000543365670575495,0.9993292996669197,1.0004160310080707
imagenet,learned,noise,0.0095,0.9998660541535886,0.0005409042043618308,0.9993251499492268,1.0004069583579505
imagenet,learned,noise,0.0097375,0.9998594429696824,0.000538530112330496,0.9993209128573519,1.000397973082013
imagenet,learned,noise,0.009975,0.9998528317857757,0.0005362445549662889,0.9993165872308094,1.000389076340742
imagenet,learned,noise,0.0102125,0.9998462206018695,0.0005340486689706568,0.9993121719328988,1.0003802692708401
imagenet,learned,noise,0.01045,0.999839609417963,0.0005319435648465639,0.9993076658531165,1.0003715529828097
imagenet,learned,noise,0.0106875,0.9998329982340565,0.000529930324465396,0.9993030679095911,1.0003629285585218
imagenet,learned,noise,0.010925,0.9998263870501503,0.000528009998625353,0.9992983770515249,1.0003543970487756
imagenet,learned,noise,0.0111625,0.9998197758662438,0.0005261836046121612,0.9992935922616316,1.000345959470856
imagenet,learned,noise,0.0114,0.9998131646823373,0.0005244521237739193,0.9992887125585633,1.000337616806111
imagenet,learned,noise,0.0116375,0.9998065534984311,0.0005228164991211438,0.99928373699931,1.0003293699975522
imagenet,learned,noise,0.011875,0.9997999423145245,0.0005212776329649883,0.9992786646815596,1.0003212199474896
imagenet,learned,noise,0.0121125,0.9997933311306181,0.0005198363846056839,0.9992734947460123,1.0003131675152237
imagenet,learned,noise,0.01235,0.9997867199467118,0.0005184935680837542,0.999268226378628,1.0003052135147954
imagenet,learned,noise,0.0125875,0.9997801087628053,0.0005172499500072688,0.9992628588127981,1.0002973587128126
imagenet,learned,noise,0.012825,0.9997734975788989,0.0005161062474673246,0.9992573913314315,1.0002896038263662
imagenet,learned,noise,0.0130625,0.9997668863949923,0.0005150631260545898,0.9992518232689378,1.0002819495210469
imagenet,learned,noise,0.0133,0.9997603485222109,0.0005141621019248693,0.999246186420286,1.0002745106241357
imagenet,learned,noise,0.0135375,0.9997541869157587,0.0005135762265882223,0.9992406106891705,1.0002677631423469
imagenet,learned,noise,0.013775,0.9997480253093066,0.0005130984568300094,0.9992349268524766,1.0002611237661367
imagenet,learned,noise,0.0140125,0.9997418637028547,0.0005127290948542259,0.9992291346080004,1.000254592797709
imagenet,learned,noise,0.01425,0.9997357020964025,0.0005124683750659159,0.9992232337213366,1.0002481704714685
imagenet,learned,noise,0.0144875,0.9997295404899504,0.0005123164633303121,0.9992172240266202,1.0002418569532807
imagenet,learned,noise,0.014725,0.9997235960204954,0.0005121037646232775,0.9992114922558721,1.0002356997851187
imagenet,learned,noise,0.0149625,0.9997178879161625,0.0005118468498272933,0.9992060410663351,1.0002297347659896
imagenet,learned,noise,0.0152,0.999710953459764,0.00051399047703955,0.9991969629827244,1.0002249439368036
imagenet,learned,noise,0.0154375,0.9997038058695823,0.0005165645684298044,0.9991872413011524,1.0002203704380122
imagenet,learned,noise,0.015675,0.9996964131310921,0.0005190863635616124,0.9991773267675306,1.0002154994946537
imagenet,learned,noise,0.0159125,0.99968855256773,0.0005209401298577554,0.9991676124378723,1.0002094926975877
imagenet,learned,noise,0.01615,0.99968045847708,0.0005224802075056835,0.9991579782695743,1.0002029386845857
imagenet,learned,noise,0.0163875,0.9996723643864297,0.0005240664390563841,0.9991482979473734,1.000196430825486
imagenet,learned,noise,0.016625,0.9996642702957795,0.000525698406718471,0.9991385718890611,1.000189968702498
imagenet,learned,noise,0.0168625,0.9996561762051294,0.0005273756858999364,0.9991288005192295,1.0001835518910294
imagenet,learned,noise,0.0171,0.999648082114479,0.0005290978456784236,0.9991189842688005,1.0001771799601573
imagenet,learned,noise,0.0173375,0.9996399880238288,0.0005308644492671258,0.9991091235745617,1.000170852473096
imagenet,learned,noise,0.017575,0.9996318939331786,0.0005326750544758537,0.9990992188787028,1.0001645689876546
imagenet,learned,noise,0.0178125,0.9996237998425284,0.0005345292141661065,0.9990892706283623,1.0001583290566944
imagenet,learned,noise,0.01805,0.9996157057518782,0.0005364264766995239,0.9990792792751787,1.0001521322285778
imagenet,learned,noise,0.0182875,0.999607611661228,0.0005383663863787745,0.9990692452748493,1.0001459780476067
imagenet,learned,noise,0.018525,0.9995995175705779,0.0005403484838803211,0.9990591690866976,1.0001398660544583
imagenet,learned,noise,0.0187625,0.9995914234799277,0.0005423723066787718,0.9990490511732489,1.0001337957866065
imagenet,learned,noise,0.019,0.9995833293892775,0.0005444373894612867,0.9990388919998162,1.0001277667787387
imagenet,learned,noise,0.0192375,0.9995752352986274,0.000546543264532426,0.999028692034095,1.0001217785631598
imagenet,learned,noise,0.019475,0.9995671412079772,0.0005486894622089234,0.9990184517457683,1.000115830670186
imagenet,learned,noise,0.0197125,0.9995590471173269,0.00055087551120331,0.9990081716061235,1.0001099226285302
imagenet,learned,noise,0.01995,0.9995509530266765,0.0005531009389966179,0.9989978520876799,1.0001040539656731
imagenet,learned,noise,0.0201875,0.9995428589360263,0.000555365272199632,0.9989874936638267,1.000098224208226
imagenet,learned,noise,0.020425,0.9995347648453762,0.0005576680369026336,0.9989770968084736,1.000092432882279
imagenet,learned,noise,0.0206625,0.999526670754726,0.0005600087590130731,0.9989666619957129,1.000086679513739
imagenet,learned,noise,0.0209,0.9995185766640758,0.0005623869645811801,0.9989561896994946,1.000080963628657
imagenet,learned,noise,0.0211375,0.9995104825734256,0.0005648021801138806,0.9989456803933117,1.0000752847535395
imagenet,learned,noise,0.021375,0.9995023884827754,0.0005672539328757383,0.9989351345498997,1.0000696424156512
imagenet,learned,noise,0.0216125,0.9994942943921252,0.0005697417511782044,0.998924552640947,1.0000640361433035
imagenet,learned,noise,0.02185,0.999486200301475,0.0005722651646563757,0.9989139351368186,1.0000584654661313
imagenet,learned,noise,0.0220875,0.9994781062108248,0.0005748237045337021,0.9989032825062911,1.0000529299153584
imagenet,learned,noise,0.022325,0.9994700121201746,0.0005774169038740726,0.9988925952163006,1.0000474290240486
imagenet,learned,noise,0.0225625,0.9994619180295244,0.0005800442978223301,0.9988818737317021,1.0000419623273469
imagenet,learned,noise,0.0228,0.999453823938874,0.0005827054238325885,0.9988711185150415,1.0000365293627067
imagenet,learned,noise,0.0230375,0.9994457298482239,0.0005853998218847622,0.9988603300263391,1.0000311296701085
imagenet,learned,noise,0.023275,0.9994376357575737,0.0005881270346893632,0.9988495087228844,1.000025762792263
imagenet,learned,noise,0.0235125,0.9994295416669235,0.0005908866078810931,0.9988386550590425,1.0000204282748046
imagenet,learned,noise,0.02375,0.9994214475762734,0.00059367809020131,0.9988277694860721,1.0000151256664747
imagenet,learned,noise,0.0239875,0.9994133534856231,0.000596501033668814,0.9988168524519543,1.000009854519292
imagenet,learned,noise,0.024225,0.9994052593949728,0.0005993549937405979,0.9988059044012322,1.0000046143887134
imagenet,learned,noise,0.0244625,0.9993971653043227,0.0006022395294620607,0.9987949257748606,0.9999994048337847
imagenet,learned,noise,0.0247,0.9993890712136726,0.000605154203606509,0.9987839170100661,0.9999942254172791
imagenet,learned,noise,0.0249375,0.9993809771230223,0.0006080985828050847,0.9987728785402172,0.9999890757058274
imagenet,learned,noise,0.025175,0.9993728830323722,0.0006110722376671353,0.998761810794705,0.9999839552700392
imagenet,learned,noise,0.0254125,0.999364788941722,0.0006140747428909206,0.9987507141988311,0.9999788636846129
imagenet,learned,noise,0.02565,0.9993566948510718,0.000617105677365389,0.9987395891737064,0.9999738005284372
imagenet,learned,noise,0.0258875,0.9993486007604216,0.0006201646242632573,0.9987284361361584,0.9999687653846849
imagenet,learned,noise,0.026125,0.9993405066697713,0.000623251171125805,0.9987172554986454,0.9999637578408971
imagenet,learned,noise,0.0263625,0.9993324125791211,0.0006263649099389339,0.9987060476691821,0.99995877748906
imagenet,learned,noise,0.0266,0.9993243184884709,0.0006295054372020021,0.998694813051269,0.9999538239256729
imagenet,learned,noise,0.0268375,0.9993162243978208,0.0006326723539890538,0.9986835520438317,0.9999488967518098
imagenet,learned,noise,0.027075,0.9993076280829231,0.0006353503843664596,0.9986722776985566,0.9999429784672895
imagenet,learned,noise,0.0273125,0.999297545812257,0.0006365366846864653,0.9986610091275706,0.9999340824969435
imagenet,learned,noise,0.02755,0.9992874635415911,0.0006377580377818591,0.9986497055038093,0.999925221579373
imagenet,learned,noise,0.0277875,0.9992773812709252,0.0006390142426626889,0.9986383670282626,0.9999163955135879
imagenet,learned,noise,0.028025,0.9992672990002592,0.000640305094203338,0.9986269939060559,0.9999076040944626
imagenet,learned,noise,0.0282625,0.9992572167295933,0.0006416303832942298,0.9986155863462991,0.9998988471128876
imagenet,learned,noise,0.0285,0.9992471344589274,0.0006429898969941713,0.9986041445619332,0.9998901243559216
imagenet,learned,noise,0.0287375,0.9992370521882615,0.00064438341868294,0.9985926687695786,0.9998814356069444
imagenet,learned,noise,0.028975,0.9992269699175956,0.000645810728214526,0.9985811591893811,0.9998727806458102
imagenet,learned,noise,0.0292125,0.9992168876469297,0.000647271602070663,0.998569616044859,0.9998641592490004
imagenet,learned,noise,0.02945,0.9992068053762638,0.0006487658135135951,0.9985580395627502,0.9998555711897774
imagenet,learned,noise,0.0296875,0.9991967231055977,0.0006502931327388599,0.9985464299728588,0.9998470162383366
imagenet,learned,noise,0.029925,0.9991865064913954,0.0006520285696881468,0.9985344779217072,0.9998385350610836
imagenet,learned,noise,0.0301625,0.9991752567982339,0.0006551545385070964,0.9985201022597269,0.999830411336741
imagenet,learned,noise,0.0304,0.9991640071050726,0.0006583310473345066,0.9985056760577381,0.9998223381524071
imagenet,learned,noise,0.0306375,0.9991487472290865,0.0006602698854484946,0.998488477343638,0.9998090171145351
imagenet,learned,noise,0.030875,0.9991333176254731,0.0006622996050256785,0.9984710180204474,0.9997956172304988
imagenet,learned,noise,0.0311125,0.9991178880218596,0.0006644753502022462,0.9984534126716574,0.9997823633720618
imagenet,learned,noise,0.03135,0.9991024584182462,0.0006667956915410539,0.9984356627267051,0.9997692541097872
imagenet,learned,noise,0.0315875,0.9990855848874433,0.0006708693480733269,0.9984147155393699,0.9997564542355166
imagenet,learned,noise,0.031825,0.9990680010058016,0.0006758302270077581,0.9983921707787938,0.9997438312328094
imagenet,learned,noise,0.0320625,0.9990504171241601,0.0006808751500823468,0.9983695419740778,0.9997312922742424
imagenet,learned,noise,0.0323,0.999032412350735,0.000685238846330219,0.9983471735044048,0.9997176511970652
imagenet,learned,noise,0.0325375,0.9990152034743643,0.0006887686805777381,0.9983264347937866,0.9997039721549421
imagenet,learned,noise,0.032775,0.998999420064496,0.0006919537788106316,0.9983074662856855,0.9996913738433066
imagenet,learned,noise,0.0330125,0.9989836366546277,0.0006952978137850726,0.9982883388408427,0.9996789344684128
imagenet,learned,noise,0.03325,0.9989678532447593,0.0006987985037740305,0.9982690547409853,0.9996666517485334
imagenet,learned,noise,0.0334875,0.9989520698348912,0.000702453506701983,0.9982496163281892,0.9996545233415931
imagenet,learned,noise,0.033725,0.9989362864250227,0.0007062604267956271,0.9982300259982271,0.9996425468518184
imagenet,learned,noise,0.0339625,0.9989205030151544,0.0007102168211298408,0.9982102861940246,0.9996307198362843
