dataset,family,seed,budget,rho,accuracy,n_draws,rho_sd_across_draws,accuracy_sd_across_draws,sources,architecture,source_index
imagenet,rope,1011,0.050000000000000003,0.048136119451013801,0.99849108367626882,10,0.00061218053108399995,0.0010747745106120001,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_5_seeds_1011/noise_all_families.json,vitb_amp,1
imagenet,rope,1011,0.10000000000000001,0.0964643280685447,0.99681069958847723,10,0.0012292079227868001,0.0014463949325912999,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_5_seeds_1011/noise_all_families.json,vitb_amp,2
imagenet,rope,1011,0.20000000000000001,0.1943360293257739,0.99146090534979403,10,0.0023804889679052,0.0025015756688019,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_5_seeds_1011/noise_all_families.json,vitb_amp,3
imagenet,rope,1011,0.40000000000000002,0.3952429742694506,0.96539780521261997,10,0.0040278511381992002,0.0030862080572287001,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_5_seeds_1011/noise_all_families.json,vitb_amp,4
imagenet,rope,1213,0.025000000000000001,0.025281603598222801,0.99958918178705924,10,0.0004877993950432,0.0006208590897516,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_6_seeds_1213/noise_all_families.json,vitb_amp,0
imagenet,rope,1213,0.050000000000000003,0.0504770836049208,0.99989729544676476,10,0.00095832362600720004,0.00091364230976820001,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_6_seeds_1213/noise_all_families.json,vitb_amp,1
imagenet,rope,1213,0.10000000000000001,0.1008919447857077,0.99804861348853124,10,0.0019526852684050001,0.0019166761173689999,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_6_seeds_1213/noise_all_families.json,vitb_amp,2
imagenet,rope,1213,0.20000000000000001,0.2026767526421015,0.99147552208147882,10,0.0039878642907038003,0.0023798078466636999,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_6_seeds_1213/noise_all_families.json,vitb_amp,3
imagenet,rope,1213,0.40000000000000002,0.40959589556059017,0.96350564875042799,10,0.0071971634334432998,0.0038265518883599998,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_6_seeds_1213/noise_all_families.json,vitb_amp,4
imagenet,sinusoidal,42,0.01,0.0080878995940804992,0.99932956951305563,10,0.0001105673621513,0.00026036160457750001,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_1_seeds_42/noise_all_families.json,vitb_amp,0
imagenet,sinusoidal,42,0.025000000000000001,0.0203362345051952,0.99865913902611159,10,0.00027998744066409998,0.00096705738843070005,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_1_seeds_42/noise_all_families.json,vitb_amp,1
imagenet,sinusoidal,42,0.050000000000000003,0.041476389213017703,0.99897671136203237,10,0.00057675970243769995,0.0012717043444625,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_1_seeds_42/noise_all_families.json,vitb_amp,2
imagenet,sinusoidal,42,0.10000000000000001,0.086946012932868397,0.999894142554693,10,0.0011355347944639999,0.0015340201213326001,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_1_seeds_42/noise_all_families.json,vitb_amp,3
imagenet,sinusoidal,42,0.20000000000000001,0.1811554290939989,0.99297812279463638,10,0.0018227002259280001,0.0050245646082193998,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_1_seeds_42/noise_all_families.json,vitb_amp,4
imagenet,sinusoidal,123,0.01,0.0079937804518810003,0.99943262411347522,10,5.5667981953539701e-05,0.00076968418894080004,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_2_seeds_123/noise_all_families.json,vitb_amp,0
