scope,scope_key,support_multiplier,rho_endpoint,architecture,family,family_label,seed,attack_nauc,noise_nauc,noise_minus_attack_gap
architecture,vitb_amp,1,0.095748114392128297,vitb_amp,learned,Learned,1011,0.99192802259664348,0.99674406141360505,0.0048160388169615764
architecture,vitb_amp,1,0.095748114392128297,vitb_amp,learned,Learned,1213,0.99456533240226652,0.99652476174626237,0.0019594293439958443
architecture,vitb_amp,1,0.095748114392128297,vitb_amp,sinusoidal,Sinusoidal,42,0.79349732025214692,0.99927450847344967,0.20577718822130275
architecture,vitb_amp,1,0.095748114392128297,vitb_amp,sinusoidal,Sinusoidal,123,0.83093704419680514,0.99860651930710786,0.16766947511030272
architecture,vitb_amp,1,0.095748114392128297,vitb_amp,sinusoidal,Sinusoidal,456,0.86330465290448699,0.99806610776181393,0.13476145485732693
architecture,vitb_amp,1,0.095748114392128297,vitb_amp,sinusoidal,Sinusoidal,789,0.83885166858498694,0.99615507503873757,0.15730340645375063
architecture,vitb_amp,1,0.095748114392128297,vitb_amp,sinusoidal,Sinusoidal,1011,0.81445115651110889,0.99758972321683448,0.18313856670572559
architecture,vitb_amp,1,0.095748114392128297,vitb_amp,sinusoidal,Sinusoidal,1213,0.81474685194126439,0.99950871912659345,0.18476186718532905
architecture,vitb_amp,1,0.095748114392128297,vitb_amp,rope,RoPE,42,0.95241356044429981,0.99831894675587529,0.04590538631157548
architecture,vitb_amp,1,0.095748114392128297,vitb_amp,rope,RoPE,123,0.93421856067626718,0.99895239713964135,0.064733836463374161
architecture,vitb_amp,1,0.095748114392128297,vitb_amp,rope,RoPE,456,0.9429567260730759,0.99931497071218622,0.056358244639110322
architecture,vitb_amp,1,0.095748114392128297,vitb_amp,rope,RoPE,789,0.91291804812714961,0.99942408325524301,0.086506035128093406
architecture,vitb_amp,1,0.095748114392128297,vitb_amp,rope,RoPE,1011,0.96195394299390236,0.99844139922996777,0.036487456236065419
architecture,vitb_amp,1,0.095748114392128297,vitb_amp,rope,RoPE,1213,0.94283679010901178,0.99943718816395466,0.05660039805494288
architecture,vits_amp,1,0.087345571591429264,vits_amp,learned,Learned,42,0.87582276881045296,0.99714524496602286,0.1213224761555699
architecture,vits_amp,1,0.087345571591429264,vits_amp,learned,Learned,123,0.80525928112279288,0.99761977527635737,0.19236049415356449
architecture,vits_amp,1,0.087345571591429264,vits_amp,learned,Learned,456,0.78904714803902976,0.99479657683874434,0.20574942879971458
architecture,vits_amp,1,0.087345571591429264,vits_amp,learned,Learned,789,0.78793990987258389,0.99700618748729364,0.20906627761470975
architecture,vits_amp,1,0.087345571591429264,vits_amp,learned,Learned,1011,0.6659230818586368,0.9980656678610772,0.3321425860024404
architecture,vits_amp,1,0.087345571591429264,vits_amp,learned,Learned,1213,0.72668308874682219,0.99840631129155655,0.27172322254473436
architecture,vits_amp,1,0.087345571591429264,vits_amp,sinusoidal,Sinusoidal,42,0.68771454564931955,0.9986000847876757,0.31088553913835615
architecture,vits_amp,1,0.087345571591429264,vits_amp,sinusoidal,Sinusoidal,123,0.74737097445423195,1.0009374037935581,0.25356642933932616
architecture,vits_amp,1,0.087345571591429264,vits_amp,sinusoidal,Sinusoidal,456,0.70253372110925727,0.99893896852978736,0.29640524742053009
architecture,vits_amp,1,0.087345571591429264,vits_amp,sinusoidal,Sinusoidal,789,0.71067657068336143,0.99984310729978609,0.28916653661642466
architecture,vits_amp,1,0.087345571591429264,vits_amp,sinusoidal,Sinusoidal,1011,0.7158824494089765,0.99973343184297891,0.28385098243400242
architecture,vits_amp,1,0.087345571591429264,vits_amp,sinusoidal,Sinusoidal,1213,0.71804899472040584,0.99633775902163646,0.27828876430123062
architecture,vits_amp,1,0.087345571591429264,vits_amp,rope,RoPE,42,0.80903465842981936,0.99929242864309842,0.19025777021327905
