family,threshold,metric,seed,vitb_value,vits_value,delta_vits_minus_vitb
sinusoidal,q20,epsilon,456,0.013118598382749324,0.0089284644194756544,-0.0041901339632736696
sinusoidal,q20,epsilon,789,0.013790012804097309,0.0089633466135458154,-0.0048266661905514933
sinusoidal,q20,epsilon,1011,0.011355285961871749,0.0091624489795918366,-0.002192836982279912
sinusoidal,q20,epsilon,1213,0.012231012658227847,0.0083099999999999997,-0.003921012658227847
sinusoidal,q20,rho,42,0.092808236909902392,0.078317632670658124,-0.014490604239244267
sinusoidal,q20,rho,123,0.096960960753428721,0.086742101663575835,-0.010218859089852886
sinusoidal,q20,rho,456,0.098153872666754183,0.083856483384022712,-0.014297389282731471
sinusoidal,q20,rho,789,0.095729729451645651,0.086310131466416667,-0.0094195979852289835
sinusoidal,q20,rho,1011,0.093900925480484426,0.082001505189460561,-0.011899420291023866
sinusoidal,q20,rho,1213,0.094004199723610793,0.083294402053746636,-0.010709797669864157
rope,q80,epsilon,42,0.056862921348314603,0.053377219840783835,-0.0034857015075307682
rope,q80,epsilon,123,0.055018404907975459,0.053706293706293713,-0.0013121112016817454
rope,q80,epsilon,456,0.05525354969574036,0.054098618090452258,-0.0011549316052881023
rope,q80,epsilon,789,0.053327895595432301,0.055039298669891171,0.0017114030744588699
rope,q80,epsilon,1011,0.05557588357588357,0.053897660818713451,-0.0016782227571701183
rope,q80,epsilon,1213,0.056145228215767631,0.054261083743842364,-0.001884144471925267
rope,q80,rho,42,0.10054416750160711,0.055351032285771484,-0.045193135215835623
rope,q80,rho,123,0.086378444490561743,0.067979737179706304,-0.018398707310855439
rope,q80,rho,456,0.089690331491439484,0.054326935837639027,-0.035363395653800457
rope,q80,rho,789,0.080181142968147864,0.081588608024614595,0.0014074650564667307
rope,q80,rho,1011,0.10505250967858865,0.067072898525567623,-0.037979611153021023
rope,q80,rho,1213,0.091079559434548402,0.061441547207698358,-0.029638012226850044
rope,q50,epsilon,42,0.06902080783353734,0.066595223515003063,-0.0024255843185342768
rope,q50,epsilon,123,0.067394117647058827,0.066280594405594404,-0.0011135232414644231
rope,q50,epsilon,456,0.06679936305732484,0.067548680904522609,0.00074931784719776962
rope,q50,epsilon,789,0.065075349838536065,0.068084945586457071,0.0030095957479210067
rope,q50,epsilon,1011,0.066606786427145709,0.066498538011695904,-0.00010824841544980479
rope,q50,epsilon,1213,0.067749719416386078,0.067441502463054193,-0.0003082169533318857
rope,q50,rho,42,0.13469965876533363,0.074748889838667038,-0.059950768926666592
rope,q50,rho,123,0.10716910689823561,0.087678535994709678,-0.019490570903525933
rope,q50,rho,456,0.10864755735230899,0.073320340519627672,-0.035327216832681321
rope,q50,rho,789,0.10296092570559548,0.10108127895256538,-0.0018796467530300953
rope,q50,rho,1011,0.13074854580108725,0.085052454095302196,-0.04569609170578505
rope,q50,rho,1213,0.11541998260086521,0.07982806717913149,-0.035591915421733719
rope,q20,epsilon,42,0.079440721649484541,0.086963470319634709,0.0075227486701501672
rope,q20,epsilon,123,0.079338181818181822,0.085368338557993736,0.0060301567398119149
rope,q20,epsilon,456,0.07825,0.089211309523809526,0.010961309523809526
rope,q20,epsilon,789,0.0759903381642512,0.088100775193798456,0.012110437029547255
rope,q20,epsilon,1011,0.077718354430379749,0.085953125000000005,0.0082347705696202561
rope,q20,epsilon,1213,0.079132716049382712,0.087610497237569057,0.0084777811881863452
rope,q20,rho,42,0.15127440097166492,0.10344238417064996,-0.047832016801014954
rope,q20,rho,123,0.12193223743037843,0.11241335572680498,-0.0095188817035734424
rope,q20,rho,456,0.12346320301235285,0.096703539537079289,-0.02675966347527356
rope,q20,rho,789,0.11935298076759075,0.12565383813132733,0.0063008573637365756
rope,q20,rho,1011,0.14698608626046486,0.10822843641275025,-0.038757649847714612
rope,q20,rho,1213,0.13434320954415011,0.10626300569383978,-0.02808020385031032
