dataset,family,seed,budget,rho,accuracy,attack_loss,sources,source_classes,architecture,source_index
imagenet,learned,1213,0.00125,0.1400034383170902,0.96402616279069764,1.0713483716826886,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_6_seeds_1213/attacks_learned.json,base,vitb_amp,4
imagenet,learned,1213,0.0015,0.16308414603987281,0.94513081395348819,1.1263181958347559,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_6_seeds_1213/attacks_learned.json,base,vitb_amp,5
imagenet,learned,1213,0.00175,0.18344720973461701,0.92914244186046502,1.1845268643461169,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_6_seeds_1213/attacks_learned.json,base,vitb_amp,6
imagenet,learned,1213,0.002,0.12153358217423089,0.89752906976744184,1.2599426617380232,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_6_seeds_1213/attacks_learned.json,base,vitb_amp,7
imagenet,learned,1213,0.0022499999999999998,0.1356263782540407,0.70639534883720922,1.989008124731481,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_6_seeds_1213/attacks_learned.json,base,vitb_amp,8
imagenet,learned,1213,0.0025000000000000001,0.15420556028289489,0.37754360465116271,3.3443319290876388,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_6_seeds_1213/attacks_learned.json,base,vitb_amp,9
imagenet,rope,42,0.012500000000000001,0.0193412983889302,0.99555099247091039,0.6851123815402389,analysis/v18_canonical_pipeline/inputs/densification/imagenet_rope_optional_all6.json,densification,vitb_amp,0
imagenet,rope,42,0.025000000000000001,0.032680496852323597,0.98767967145790558,0.72550332923419769,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_1_seeds_42/attacks_rope.json,base,vitb_amp,1
imagenet,rope,42,0.037499999999999999,0.049010925511211403,0.97262149212867899,0.80535980733111501,analysis/v18_canonical_pipeline/inputs/densification/imagenet_rope_optional_all6.json,densification,vitb_amp,2
imagenet,rope,42,0.050000000000000003,0.079531934560018197,0.90451745379876802,1.0328155722003429,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_1_seeds_42/attacks_rope.json,base,vitb_amp,3
imagenet,rope,42,0.059999999999999998,0.11014897339108259,0.75222450376454486,1.5971148785203697,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_1_seeds_42/attacks_rope.json,base,vitb_amp,4
imagenet,rope,42,0.070000000000000007,0.13736459069198231,0.47262149212867899,2.769944922998548,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_1_seeds_42/attacks_rope.json,base,vitb_amp,5
