dataset,pe_type,seed,direction,kind,functional_gain,probe_radius,rho_rel_calibration,rho_rel_heldout,delta_ce,damage_efficiency,parameter_radius_global_rms,parameter_space_cosine_to_task_gradient,attention_task_alignment_cosine,source_file
cifar,rope,1011,random_31,gaussian random,2.553689282953924,0.0001,0.0300015401275527,0.0303022584122149,0.0055950582027435,0.1846416239552673,0.0286191250956752,0.0321231335401535,0.0003072368170902,cifar_seeds_1011_1213.json
cifar,rope,1011,task_gradient,held-out task-gradient ascent,6.090970869469877,0.0001,0.03000526532836,0.0309223234658291,0.0191966593265533,0.6208026168462625,0.0055029189005743,1.0,0.0010089127859789,cifar_seeds_1011_1213.json
cifar,rope,1213,random_00,gaussian random,2.343184417591724,0.0001,0.0299934143410887,0.0301169339975929,-8.159875869750977e-05,-0.0027093979322075,0.0333593200120784,-0.0121388742700219,-5.743963250549175e-05,cifar_seeds_1011_1213.json
cifar,rope,1213,random_01,gaussian random,2.3871000654587298,0.0001,0.0299809753159048,0.0300551145564077,-0.00049689412117,-0.0165327641735474,0.0326168298221104,-0.0178844761103391,-0.0001436950371904,cifar_seeds_1011_1213.json
cifar,rope,1213,random_02,gaussian random,2.370900820096999,0.0001,0.0299910936444381,0.0301170730659676,-0.0053120404481887,-0.1763797045135635,0.0332827629887683,-0.0098823448643088,-0.0003414208228847,cifar_seeds_1011_1213.json
cifar,rope,1213,random_03,gaussian random,2.3674018617474317,0.0001,0.0299907829539106,0.0300886811714979,0.0008208453655242,0.0272808688704459,0.0329704442091193,0.0060596880502998,2.5964714270689816e-05,cifar_seeds_1011_1213.json
cifar,rope,1213,random_04,gaussian random,2.4052970792428336,0.0001,0.0299944920336273,0.0301044288165957,0.0020905137062072,0.069442065117503,0.0311136611055475,-0.0264684949070215,7.044206743049306e-05,cifar_seeds_1011_1213.json
cifar,rope,1213,random_05,gaussian random,2.374165477209341,0.0001,0.0300021335827661,0.030056312525662,-0.0043076574802398,-0.1433195597950347,0.0317471364726402,-0.0356422439217567,-0.0002256845948452,cifar_seeds_1011_1213.json
cifar,rope,1213,random_06,gaussian random,2.347191147388745,0.0001,0.0299879363181221,0.0300833041337401,-0.0054749846458435,-0.1819941260941149,0.033171377378237,-0.0723534002900123,-0.0002337291668213,cifar_seeds_1011_1213.json
cifar,rope,1213,random_07,gaussian random,2.408664858404054,0.0001,0.0299966895211375,0.0300663907475675,-0.0017506778240203,-0.0582270695115615,0.0305210167761406,0.014640768058598,-0.0001821994401077,cifar_seeds_1011_1213.json
cifar,rope,1213,random_08,gaussian random,2.4558329328671284,0.0001,0.0299885599128201,0.0301290151506818,-0.0075041949748992,-0.2490687112528956,0.0291329641430071,0.0553140081465244,-0.0004430559352563,cifar_seeds_1011_1213.json
cifar,rope,1213,random_09,gaussian random,2.3689996899767523,0.0001,0.030002344554848,0.0301272627758978,-0.0009016096591949,-0.0299267034612996,0.0321962840559577,0.0012723074760288,1.4932739188850058e-05,cifar_seeds_1011_1213.json
cifar,rope,1213,random_10,gaussian random,2.3940537835603397,0.0001,0.0299928778036472,0.0300517600860808,-0.0026508420705795,-0.0882092118061105,0.0318458616805666,-0.0114455092698335,-8.399658585339517e-05,cifar_seeds_1011_1213.json
cifar,rope,1213,random_11,gaussian random,2.3684046657784554,0.0001,0.0299926402685079,0.0300732023292026,0.007484808564186,0.2488863168694857,0.0319872880416847,-0.0011575332609936,0.0003859876092611,cifar_seeds_1011_1213.json
cifar,rope,1213,random_12,gaussian random,2.3844927942027523,0.0001,0.0299963173737918,0.0300708549911742,0.0042133331298828,0.1401135129386715,0.0321773683652876,-0.0032033333554863,0.0001990878539808,cifar_seeds_1011_1213.json
cifar,rope,1213,random_13,gaussian random,2.4104575212252413,0.0001,0.0300063262822054,0.0301144739385914,0.0017211139202117,0.0571523820645659,0.0320032945056321,-0.0218988433480262,8.29957861051701e-05,cifar_seeds_1011_1213.json
cifar,rope,1213,random_14,gaussian random,2.3694008423965203,0.0001,0.0299965324611547,0.0300963476629068,0.0019282549619674,0.0640694008311182,0.0326346673107341,0.033544760197401,8.542184904795143e-05,cifar_seeds_1011_1213.json
cifar,rope,1213,random_15,gaussian random,2.3658346744743564,0.0001,0.0299981290495913,0.0300529024217441,-0.0003027617931365,-0.0100742946184638,0.0321861713116943,0.0064617842435836,0.0001128765412077,cifar_seeds_1011_1213.json
cifar,rope,1213,random_16,gaussian random,2.3530139722847965,0.0001,0.0299920803581803,0.0300960948056764,0.0001285076141357,0.0042699099323512,0.0311929926586578,-0.0151086952537298,7.31371350409113e-05,cifar_seeds_1011_1213.json
cifar,rope,1213,random_17,gaussian random,2.338780054469921,0.0001,0.0300106228873581,0.0301113156432375,-0.0032118558883666,-0.1066660761828262,0.0339662003718574,0.0039326762780547,-9.161700319359896e-05,cifar_seeds_1011_1213.json
cifar,rope,1213,random_18,gaussian random,2.3750572518105795,0.0001,0.0299907864908375,0.0300812175156792,0.0083366930484771,0.2771394822743406,0.0325261863124895,-0.015584597364068,0.000393317056236,cifar_seeds_1011_1213.json
cifar,rope,1213,random_19,gaussian random,2.4224345842393897,0.0001,0.0299898366764182,0.0301162623590936,0.0046497583389282,0.1543936058029533,0.0304746620365835,0.0369651280343532,0.0003027195922313,cifar_seeds_1011_1213.json
cifar,rope,1213,random_20,gaussian random,2.4195421450097463,0.0001,0.0299985224818404,0.0300917072101388,0.0072377473115921,0.2405229873150391,0.0307483469920134,-0.0001792761031538,0.0003151367966477,cifar_seeds_1011_1213.json
cifar,rope,1213,random_21,gaussian random,2.363832287720253,0.0001,0.0299981625556722,0.0300528423002182,0.0027914494276046,0.0928847062024614,0.0326805231386352,-0.0261460896581411,8.635013856384612e-05,cifar_seeds_1011_1213.json
cifar,rope,1213,random_22,gaussian random,2.412506350999279,0.0001,0.0299848052060205,0.0300629848370508,0.0052642077207565,0.1751059566869322,0.0312197338964905,-0.0234230980277061,0.0002917572908573,cifar_seeds_1011_1213.json
cifar,rope,1213,random_23,gaussian random,2.384301430447901,0.0001,0.0299942661106632,0.0301011086938079,0.0027361512184143,0.0908986857011401,0.0319909261041248,0.037896990776062,4.4987464770945e-05,cifar_seeds_1011_1213.json
cifar,rope,1213,random_24,gaussian random,2.367771023091428,0.0001,0.0300091230316118,0.0300504943848943,0.0074458867311477,0.247779175802533,0.0343390151392141,-0.0111035676673054,0.0002279689564788,cifar_seeds_1011_1213.json
cifar,rope,1213,random_25,gaussian random,2.33368127469874,0.0001,0.030009941731695,0.0301106071916975,-0.0042104125022888,-0.1398315376200637,0.0327514356643176,0.0026470758020877,-0.0002503878800024,cifar_seeds_1011_1213.json
cifar,rope,1213,random_26,gaussian random,2.3850275316586904,0.0001,0.0299915305817861,0.0300364674885969,-0.0052804797887802,-0.1758022906916369,0.032148149132968,0.0056813550181686,-0.0002329299821995,cifar_seeds_1011_1213.json
cifar,rope,1213,random_27,gaussian random,2.4432451232762347,0.0001,0.0299946906722176,0.0300631272753362,0.0018276423215866,0.060793486480896,0.0320488111461249,-0.0061228368431329,1.1130761331796406e-05,cifar_seeds_1011_1213.json
cifar,rope,1213,random_28,gaussian random,2.374373012931968,0.0001,0.0299896271253644,0.0300833270344672,-9.831786155700684e-05,-0.0032681844479622,0.0329452606824056,0.0205535273998975,-0.0001103249726978,cifar_seeds_1011_1213.json
cifar,rope,1213,random_29,gaussian random,2.346277334888779,0.0001,0.0300007932379331,0.0301580496378597,0.0044925659894943,0.1489673915734411,0.0343511055643037,-0.0090770432725548,0.0001272016135385,cifar_seeds_1011_1213.json
