scope,endpoint_multiplier,endpoint,architecture,family,metric,n_seeds,mean,sd,ci95_low,ci95_high,positive_seeds,exact_sign_flip_p
vits,0.9,0.07131455760425807,vits,alibi,gap,6,0.05495760835141398,0.004349496304699287,0.051682947163097216,0.05798603770345545,6,0.03125
vits,0.9,0.07131455760425807,vits,learned,noise_nauc,6,0.9982711136609773,0.0006444564015059429,0.9977543156376832,0.9986973375282244,6,0.03125
vits,0.9,0.07131455760425807,vits,learned,adversarial_nauc,6,0.8856430951183535,0.028139047581088122,0.8674643124104428,0.9078284653565655,6,0.03125
vits,0.9,0.07131455760425807,vits,learned,gap,6,0.11262801854262385,0.028030570557933537,0.08982895878403668,0.13035692525403034,6,0.03125
vits,0.9,0.07131455760425807,vits,rope,noise_nauc,6,0.99925982630007,0.0007056618504486014,0.9987438665252889,0.9997474288592586,6,0.03125
vits,0.9,0.07131455760425807,vits,rope,adversarial_nauc,6,0.904003357509278,0.029890478043260206,0.8846352131776035,0.9278164617662518,6,0.03125
vits,0.9,0.07131455760425807,vits,rope,gap,6,0.09525646879079237,0.029694505286411658,0.07157377100046526,0.11455746117325673,6,0.03125
vits,0.9,0.07131455760425807,vits,sinusoidal,noise_nauc,6,0.9989696690088467,0.0009477534316517992,0.9982880690509098,0.9996516058164463,6,0.03125
vits,0.9,0.07131455760425807,vits,sinusoidal,adversarial_nauc,6,0.8116946847744081,0.031557529535136866,0.7887484966984842,0.8342151004645736,6,0.03125
vits,0.9,0.07131455760425807,vits,sinusoidal,gap,6,0.18727498423443836,0.03193518746214989,0.1646042363084856,0.21044166323518496,6,0.03125
vits,1.0,0.07923839733806452,vits,alibi,noise_nauc,6,0.9716509739769594,0.007035058322726993,0.9666557621799018,0.9768058556709476,6,0.03125
vits,1.0,0.07923839733806452,vits,alibi,adversarial_nauc,6,0.9046474395784041,0.006432883523649154,0.9000230309117253,0.9090961699934227,6,0.03125
vits,1.0,0.07923839733806452,vits,alibi,gap,6,0.06700353439855533,0.006616055678305398,0.061810326630253785,0.07155161494590119,6,0.03125
vits,1.0,0.07923839733806452,vits,learned,noise_nauc,6,0.9980785447645631,0.0006858904586145774,0.9975411181181775,0.9985329855013961,6,0.03125
vits,1.0,0.07923839733806452,vits,learned,adversarial_nauc,6,0.8509369245125585,0.037407491577488294,0.8278437035296196,0.8813044133962548,6,0.03125
vits,1.0,0.07923839733806452,vits,learned,gap,6,0.14714162025200453,0.037367417647005755,0.11707777734994784,0.1701350645844446,6,0.03125
vits,1.0,0.07923839733806452,vits,rope,noise_nauc,6,0.9991732810203905,0.0007509021472732278,0.9986293948277386,0.9996973675042895,6,0.03125
vits,1.0,0.07923839733806452,vits,rope,adversarial_nauc,6,0.8661530590760685,0.03972509092623456,0.8404121480415951,0.8983392062345027,6,0.03125
vits,1.0,0.07923839733806452,vits,rope,gap,6,0.13302022194432211,0.03956629357791162,0.10115095631908987,0.15862109176424197,6,0.03125
vits,1.0,0.07923839733806452,vits,sinusoidal,noise_nauc,6,0.998784717360999,0.0010587843003512444,0.9980106922041777,0.9995362482572601,6,0.03125
vits,1.0,0.07923839733806452,vits,sinusoidal,adversarial_nauc,6,0.7663660668996223,0.03852055422681634,0.737833931922641,0.7938233573785943,6,0.03125
vits,1.0,0.07923839733806452,vits,sinusoidal,gap,6,0.23241865046137677,0.03897735583136166,0.2047452057614807,0.2614722619078617,6,0.03125
