scope,endpoint_multiplier,endpoint,architecture,family,seed,noise_nauc,adversarial_nauc,adversarial_raw_nauc,gap,raw_gap
vitb,0.9,0.08617330295291548,vitb,rope,123,0.9990293144454013,0.9535901705155013,0.9535901705155013,0.045439143929900006,0.045439143929900006
vitb,0.75,0.07181108579409623,vitb,rope,123,0.9991510146518859,0.972343095716783,0.972343095716783,0.026807918935102926,0.026807918935102926
cross,1.0,0.07923839733806452,vitb,rope,456,0.9994528244179969,0.9687257646461788,0.9690838506548396,0.03072705977181811,0.03036897376315728
cross,0.9,0.07131455760425807,vitb,rope,456,0.9995160027049383,0.9763356199263078,0.9767334932692642,0.02318038277863055,0.02278250943567417
cross,0.75,0.05942879800354839,vitb,rope,456,0.9996049222235844,0.9863084384821805,0.9867858864937283,0.013296483741403908,0.012819035729856099
vitb,1.0,0.0957481143921283,vitb,rope,456,0.9993149707121862,0.9429567260730759,0.9432530677986085,0.05635824463911032,0.05606190291357771
vitb,0.9,0.08617330295291548,vitb,rope,456,0.9993957660900831,0.9600807074312413,0.9604099760151664,0.03931505865884177,0.03898579007491665
vitb,0.75,0.07181108579409623,vitb,rope,456,0.9995121195926295,0.9758774578259043,0.9762725801266144,0.02363466176672524,0.02323953946601509
cross,1.0,0.07923839733806452,vitb,rope,789,0.9996215564386751,0.9524703163583731,0.9524703163583731,0.047151240080302026,0.047151240080302026
cross,0.9,0.07131455760425807,vitb,rope,789,0.9997077341161982,0.9639850156030145,0.9639850156030145,0.03572271851318365,0.03572271851318365
cross,0.75,0.05942879800354839,vitb,rope,789,0.9998201509683013,0.9775064121016831,0.9775064121016831,0.02231373886661825,0.02231373886661825
vitb,1.0,0.0957481143921283,vitb,rope,789,0.999424083255243,0.9129180481271496,0.9129180481271496,0.0865060351280934,0.0865060351280934
vitb,0.9,0.08617330295291548,vitb,rope,789,0.9995410486368282,0.9380893053816766,0.9380893053816766,0.06145174325515168,0.06145174325515168
vitb,0.75,0.07181108579409623,vitb,rope,789,0.9997025524096873,0.9633758707442971,0.9633758707442971,0.036326681665390215,0.036326681665390215
cross,1.0,0.07923839733806452,vitb,rope,1011,0.9987161722293443,0.9775157526141587,0.9775157526141587,0.021200419615185595,0.021200419615185595
cross,0.9,0.07131455760425807,vitb,rope,1011,0.9988460350842786,0.9835514720465712,0.9835514720465712,0.015294563037707376,0.015294563037707376
cross,0.75,0.05942879800354839,vitb,rope,1011,0.999036882314147,0.9906784744492031,0.9906784744492031,0.008358407864943906,0.008358407864943906
vitb,1.0,0.0957481143921283,vitb,rope,1011,0.9984413992299678,0.9619539429939024,0.9619539429939024,0.03648745623606542,0.03648745623606542
vitb,0.9,0.08617330295291548,vitb,rope,1011,0.9986013256074465,0.9716518462365967,0.9716518462365967,0.026949479370849794,0.026949479370849794
vitb,0.75,0.07181108579409623,vitb,rope,1011,0.9988379487060278,0.9831982309870333,0.9831982309870333,0.015639717718994528,0.015639717718994528
cross,1.0,0.07923839733806452,vitb,rope,1213,0.9996241353198703,0.9677872099858601,0.9677872099858601,0.03183692533401017,0.03183692533401017
cross,0.9,0.07131455760425807,vitb,rope,1213,0.9996948262528101,0.9755699070743887,0.9755699070743887,0.02412491917842141,0.02412491917842141
cross,0.75,0.05942879800354839,vitb,rope,1213,0.9997635675360683,0.9854041924353495,0.9854041924353495,0.01435937510071883,0.01435937510071883
vitb,1.0,0.0957481143921283,vitb,rope,1213,0.9994371881639547,0.9428367901090118,0.9428367901090118,0.05660039805494288,0.05660039805494288
vitb,0.9,0.08617330295291548,vitb,rope,1213,0.9995510106477435,0.9586225317650907,0.9586225317650907,0.04092847888265283,0.04092847888265283
vitb,0.75,0.07181108579409623,vitb,rope,1213,0.9996908800033956,0.9751224488513537,0.9751224488513537,0.02456843115204188,0.02456843115204188
cross,1.0,0.07923839733806452,vitb,alibi,42,0.9724984047128881,0.860025442968119,0.860025442968119,0.11247296174476906,0.11247296174476906
cross,0.9,0.07131455760425807,vitb,alibi,42,0.9771605720327587,0.885766154177603,0.885766154177603,0.09139441785515579,0.09139441785515579
cross,0.75,0.05942879800354839,vitb,alibi,42,0.9836384382713698,0.919201483818252,0.919201483818252,0.06443695445311781,0.06443695445311781
vitb,1.0,0.0957481143921283,vitb,alibi,42,0.9622364932915125,0.8017610143421727,0.8017610143421727,0.16047547894933978,0.16047547894933978
vitb,0.9,0.08617330295291548,vitb,alibi,42,0.9682625466936199,0.8361564068733246,0.8361564068733246,0.1321061398202953,0.1321061398202953
vitb,0.75,0.07181108579409623,vitb,alibi,42,0.9768751091450852,0.8842202923911239,0.8842202923911239,0.09265481675396137,0.09265481675396137
cross,1.0,0.07923839733806452,vitb,alibi,123,0.9639627588243925,0.8634601102143824,0.8634601102143824,0.10050264861001013,0.10050264861001013
cross,0.9,0.07131455760425807,vitb,alibi,123,0.9710492129028849,0.8885828574217746,0.8885828574217746,0.08246635548111036,0.08246635548111036
cross,0.75,0.05942879800354839,vitb,alibi,123,0.9805159619653988,0.9212206977757461,0.9212206977757461,0.0592952641896527,0.0592952641896527
vitb,1.0,0.0957481143921283,vitb,alibi,123,0.9479611325873762,0.8048085647249142,0.8048085647249142,0.143152567862462,0.143152567862462
vitb,0.9,0.08617330295291548,vitb,alibi,123,0.9574097358975119,0.8397107354577854,0.8397107354577854,0.11769900043972648,0.11769900043972648
vitb,0.75,0.07181108579409623,vitb,alibi,123,0.9706202315990546,0.8870800873658802,0.8870800873658802,0.08354014423317446,0.08354014423317446
cross,1.0,0.07923839733806452,vitb,alibi,456,0.9692449181893493,0.8672598745910122,0.8672598745910122,0.10198504359833716,0.10198504359833716
cross,0.9,0.07131455760425807,vitb,alibi,456,0.974962891719493,0.8924641519111168,0.8924641519111168,0.08249873980837619,0.08249873980837619
cross,0.75,0.05942879800354839,vitb,alibi,456,0.9827342001192421,0.9240237676981462,0.9240237676981462,0.05871043242109586,0.05871043242109586
vitb,1.0,0.0957481143921283,vitb,alibi,456,0.9564745159861782,0.8089149931891448,0.8089149931891448,0.14755952279703333,0.14755952279703333
vitb,0.9,0.08617330295291548,vitb,alibi,456,0.9639974160841263,0.8434885949756635,0.8434885949756635,0.12050882110846273,0.12050882110846273
vitb,0.75,0.07181108579409623,vitb,alibi,456,0.9746150317954466,0.8909732504924167,0.8909732504924167,0.0836417813030299,0.0836417813030299
cross,1.0,0.07923839733806452,vitb,alibi,789,0.978240720247382,0.8721616794325445,0.8721616794325445,0.10607904081483743,0.10607904081483743
cross,0.9,0.07131455760425807,vitb,alibi,789,0.9818217155538529,0.8962800808400666,0.8962800808400666,0.08554163471378629,0.08554163471378629
cross,0.75,0.05942879800354839,vitb,alibi,789,0.9868104735334589,0.9276958946764144,0.9276958946764144,0.05911457885704441,0.05911457885704441
vitb,1.0,0.0957481143921283,vitb,alibi,789,0.9703725426060524,0.8147325904750318,0.8147325904750318,0.15563995213102066,0.15563995213102066
vitb,0.9,0.08617330295291548,vitb,alibi,789,0.9749911346692184,0.8490631999184167,0.8490631999184167,0.12592793475080166,0.12592793475080166
vitb,0.75,0.07181108579409623,vitb,alibi,789,0.981602282255594,0.894836303142123,0.894836303142123,0.08676597911347095,0.08676597911347095
