architecture,family,seed,regime,point_index,rho,normalized_accuracy,clean_anchor,lower_envelope
vitb,sinusoidal,42,adversarial_raw,2,0.022321427564031,0.9650670430486944,False,False
vitb,sinusoidal,42,adversarial_raw,3,0.0402959584577287,0.936485532815808,False,False
vitb,sinusoidal,42,adversarial_raw,4,0.0619327076473022,0.8362738179251941,False,False
vitb,sinusoidal,42,adversarial_raw,5,0.0782453099544844,0.5885673959068454,False,False
vitb,sinusoidal,42,adversarial_raw,6,0.0874058567128659,0.3352152434721241,False,False
vitb,sinusoidal,42,adversarial_raw,7,0.0937640860157455,0.176076217360621,False,False
vitb,sinusoidal,42,adversarial_raw,8,0.0986748721441575,0.0225829216654904,False,False
vitb,sinusoidal,123,noise,0,0.0,1.0,True,False
vitb,sinusoidal,123,noise,1,0.007993780451881,0.9994326241134752,False,False
vitb,sinusoidal,123,noise,2,0.0200989323526033,0.998404255319149,False,False
vitb,sinusoidal,123,noise,3,0.0409728341579909,0.998758865248227,False,False
vitb,sinusoidal,123,noise,4,0.0859063689371519,0.99822695035461,False,False
vitb,sinusoidal,123,noise,5,0.1805116374003066,0.991808510638298,False,False
vitb,sinusoidal,123,adversarial,0,0.0,1.0,True,True
vitb,sinusoidal,123,adversarial,1,0.0070253496644224,0.9882978723404257,False,True
vitb,sinusoidal,123,adversarial,2,0.0221364283891085,0.9624113475177306,False,True
vitb,sinusoidal,123,adversarial,3,0.0478300750286972,0.924468085106383,False,True
vitb,sinusoidal,123,adversarial,4,0.0755758041346782,0.7549645390070923,False,True
vitb,sinusoidal,123,adversarial,5,0.088097816001208,0.498581560283688,False,True
vitb,sinusoidal,123,adversarial,6,0.0936544326587412,0.3067375886524823,False,True
vitb,sinusoidal,123,adversarial,7,0.0948489541977463,0.0198581560283687,False,True
vitb,sinusoidal,123,adversarial,8,0.0974662773393278,0.0198581560283687,False,True
vitb,sinusoidal,123,adversarial_raw,0,0.0,1.0,True,False
vitb,sinusoidal,123,adversarial_raw,1,0.0070253496644224,0.9882978723404257,False,False
vitb,sinusoidal,123,adversarial_raw,2,0.0221364283891085,0.9624113475177306,False,False
vitb,sinusoidal,123,adversarial_raw,3,0.0478300750286972,0.924468085106383,False,False
vitb,sinusoidal,123,adversarial_raw,4,0.0755758041346782,0.7549645390070923,False,False
vitb,sinusoidal,123,adversarial_raw,5,0.088097816001208,0.498581560283688,False,False
vitb,sinusoidal,123,adversarial_raw,6,0.0936544326587412,0.3067375886524823,False,False
vitb,sinusoidal,123,adversarial_raw,7,0.0948489541977463,0.0198581560283687,False,False
vitb,sinusoidal,123,adversarial_raw,8,0.0974662773393278,0.1836879432624113,False,False
vitb,sinusoidal,456,noise,0,0.0,1.0,True,False
vitb,sinusoidal,456,noise,1,0.0082513607388382,1.000071098471383,False,False
vitb,sinusoidal,456,noise,2,0.0207269552250298,0.9993956629932456,False,False
vitb,sinusoidal,456,noise,3,0.0421740932993873,0.99825808745112,False,False
vitb,sinusoidal,456,noise,4,0.0879607539151219,0.9962673302523996,False,False
vitb,sinusoidal,456,noise,5,0.1834249004184399,0.988162104514753,False,False
vitb,sinusoidal,456,adversarial,0,0.0,1.0,True,True
vitb,sinusoidal,456,adversarial,1,0.0067912625703927,0.9879132598649129,False,True
vitb,sinusoidal,456,adversarial,2,0.0172504865042732,0.967294703163882,False,True
vitb,sinusoidal,456,adversarial,3,0.0267144151373416,0.9512975471027372,False,True
vitb,sinusoidal,456,adversarial,4,0.0549557102180173,0.9125488801990757,False,True
vitb,sinusoidal,456,adversarial,5,0.0821652883231841,0.7511553501599716,False,True
vitb,sinusoidal,456,adversarial,6,0.0926564975776236,0.4998222538215429,False,True
vitb,sinusoidal,456,adversarial,7,0.097716916192603,0.0184856025595449,False,True
vitb,sinusoidal,456,adversarial,8,0.0983518979862187,0.0184856025595449,False,True
vitb,sinusoidal,456,adversarial_raw,0,0.0,1.0,True,False
vitb,sinusoidal,456,adversarial_raw,1,0.0067912625703927,0.9879132598649129,False,False
vitb,sinusoidal,456,adversarial_raw,2,0.0172504865042732,0.967294703163882,False,False
vitb,sinusoidal,456,adversarial_raw,3,0.0267144151373416,0.9512975471027372,False,False
vitb,sinusoidal,456,adversarial_raw,4,0.0549557102180173,0.9125488801990757,False,False
vitb,sinusoidal,456,adversarial_raw,5,0.0821652883231841,0.7511553501599716,False,False
vitb,sinusoidal,456,adversarial_raw,6,0.0926564975776236,0.4998222538215429,False,False
vitb,sinusoidal,456,adversarial_raw,7,0.097716916192603,0.0184856025595449,False,False
vitb,sinusoidal,456,adversarial_raw,8,0.0983518979862187,0.2822609313899751,False,False
vitb,sinusoidal,789,noise,0,0.0,1.0,True,False
vitb,sinusoidal,789,noise,1,0.0082335514336064,0.9991166077738516,False,False
vitb,sinusoidal,789,noise,2,0.0207279324881893,0.9981625441696113,False,False
vitb,sinusoidal,789,noise,3,0.0424123639321435,0.9962190812720848,False,False
vitb,sinusoidal,789,noise,4,0.0890990640872231,0.9934628975265016,False,False
vitb,sinusoidal,789,noise,5,0.1846898713488783,0.9836395759717316,False,False
vitb,sinusoidal,789,adversarial,0,0.0,1.0,True,True
vitb,sinusoidal,789,adversarial,1,0.0070776142183401,0.9848056537102472,False,True
vitb,sinusoidal,789,adversarial,2,0.0184023151424626,0.963250883392226,False,True
vitb,sinusoidal,789,adversarial,3,0.0337931293238951,0.9353356890459364,False,True
vitb,sinusoidal,789,adversarial,4,0.0664768161439356,0.8600706713780918,False,True
vitb,sinusoidal,789,adversarial,5,0.082319932263602,0.6837455830388692,False,True
vitb,sinusoidal,789,adversarial,6,0.0896463058160318,0.4710247349823321,False,True
vitb,sinusoidal,789,adversarial,7,0.091973222501241,0.3045936395759717,False,True
vitb,sinusoidal,789,adversarial,8,0.1018848168534911,0.0286219081272084,False,True
vitb,sinusoidal,789,adversarial_raw,0,0.0,1.0,True,False
vitb,sinusoidal,789,adversarial_raw,1,0.0070776142183401,0.9848056537102472,False,False
vitb,sinusoidal,789,adversarial_raw,2,0.0184023151424626,0.963250883392226,False,False
vitb,sinusoidal,789,adversarial_raw,3,0.0337931293238951,0.9353356890459364,False,False
vitb,sinusoidal,789,adversarial_raw,4,0.0664768161439356,0.8600706713780918,False,False
vitb,sinusoidal,789,adversarial_raw,5,0.082319932263602,0.6837455830388692,False,False
vitb,sinusoidal,789,adversarial_raw,6,0.0896463058160318,0.4710247349823321,False,False
vitb,sinusoidal,789,adversarial_raw,7,0.091973222501241,0.3045936395759717,False,False
vitb,sinusoidal,789,adversarial_raw,8,0.1018848168534911,0.0286219081272084,False,False
vitb,sinusoidal,1011,noise,0,0.0,1.0,True,False
vitb,sinusoidal,1011,noise,1,0.0086924967407173,0.9990171990171992,False,False
vitb,sinusoidal,1011,noise,2,0.0217412124734031,0.9986310986310988,False,False
vitb,sinusoidal,1011,noise,3,0.0439855609787282,0.9984906984906984,False,False
vitb,sinusoidal,1011,noise,4,0.0907936232383463,0.994980694980695,False,False
vitb,sinusoidal,1011,noise,5,0.18656388633628,0.9833625833625834,False,False
vitb,sinusoidal,1011,adversarial,0,0.0,1.0,True,True
vitb,sinusoidal,1011,adversarial,1,0.0062039737637967,0.987012987012987,False,True
vitb,sinusoidal,1011,adversarial,2,0.0180667615281374,0.9687609687609688,False,True
vitb,sinusoidal,1011,adversarial,3,0.0323830963731764,0.9431379431379432,False,True
vitb,sinusoidal,1011,adversarial,4,0.0626243012171493,0.8557388557388558,False,True
vitb,sinusoidal,1011,adversarial,5,0.0794857922060425,0.6525096525096525,False,True
vitb,sinusoidal,1011,adversarial,6,0.088458500085291,0.4011934011934012,False,True
vitb,sinusoidal,1011,adversarial,7,0.0936113301058041,0.2274482274482274,False,True
vitb,sinusoidal,1011,adversarial,8,0.0957481143921283,0.0249210249210249,False,True
vitb,sinusoidal,1011,adversarial_raw,0,0.0,1.0,True,False
vitb,sinusoidal,1011,adversarial_raw,1,0.0062039737637967,0.987012987012987,False,False
vitb,sinusoidal,1011,adversarial_raw,2,0.0180667615281374,0.9687609687609688,False,False
vitb,sinusoidal,1011,adversarial_raw,3,0.0323830963731764,0.9431379431379432,False,False
vitb,sinusoidal,1011,adversarial_raw,4,0.0626243012171493,0.8557388557388558,False,False
vitb,sinusoidal,1011,adversarial_raw,5,0.0794857922060425,0.6525096525096525,False,False
vitb,sinusoidal,1011,adversarial_raw,6,0.088458500085291,0.4011934011934012,False,False
vitb,sinusoidal,1011,adversarial_raw,7,0.0936113301058041,0.2274482274482274,False,False
vitb,sinusoidal,1011,adversarial_raw,8,0.0957481143921283,0.0249210249210249,False,False
vitb,sinusoidal,1213,noise,0,0.0,1.0,True,False
vitb,sinusoidal,1213,noise,1,0.0080297304718176,0.999391771019678,False,False
vitb,sinusoidal,1213,noise,2,0.0202080585281419,0.9991771019677996,False,False
vitb,sinusoidal,1213,noise,3,0.0412939416955515,0.9996064400715564,False,False
vitb,sinusoidal,1213,noise,4,0.0866686211308442,0.9996422182468696,False,False
vitb,sinusoidal,1213,noise,5,0.1805925295301252,0.9933452593917712,False,False
vitb,sinusoidal,1213,adversarial,0,0.0,1.0,True,True
vitb,sinusoidal,1213,adversarial,1,0.0066024410331807,0.9906976744186048,False,True
vitb,sinusoidal,1213,adversarial,2,0.0196924426869741,0.9649373881932022,False,True
vitb,sinusoidal,1213,adversarial,3,0.0343812404558519,0.9427549194991056,False,True
vitb,sinusoidal,1213,adversarial,4,0.0600424370072718,0.863685152057245,False,True
vitb,sinusoidal,1213,adversarial,5,0.0784258694773584,0.6669051878354204,False,True
vitb,sinusoidal,1213,adversarial,6,0.0877229625488817,0.4300536672629696,False,True
vitb,sinusoidal,1213,adversarial,7,0.0927805404780926,0.2504472271914132,False,True
vitb,sinusoidal,1213,adversarial,8,0.098265310997011,0.0243291592128801,False,True
vitb,sinusoidal,1213,adversarial_raw,0,0.0,1.0,True,False
vitb,sinusoidal,1213,adversarial_raw,1,0.0066024410331807,0.9906976744186048,False,False
vitb,sinusoidal,1213,adversarial_raw,2,0.0196924426869741,0.9649373881932022,False,False
vitb,sinusoidal,1213,adversarial_raw,3,0.0343812404558519,0.9427549194991056,False,False
vitb,sinusoidal,1213,adversarial_raw,4,0.0600424370072718,0.863685152057245,False,False
vitb,sinusoidal,1213,adversarial_raw,5,0.0784258694773584,0.6669051878354204,False,False
vitb,sinusoidal,1213,adversarial_raw,6,0.0877229625488817,0.4300536672629696,False,False
vitb,sinusoidal,1213,adversarial_raw,7,0.0927805404780926,0.2504472271914132,False,False
vitb,sinusoidal,1213,adversarial_raw,8,0.098265310997011,0.0243291592128801,False,False
vitb,rope,42,noise,0,0.0,1.0,True,False
vitb,rope,42,noise,1,0.0243094820189851,0.9987679671457906,False,False
vitb,rope,42,noise,2,0.0486454534921084,0.9981177275838468,False,False
vitb,rope,42,noise,3,0.0974991672893362,0.997262149212868,False,False
vitb,rope,42,noise,4,0.196569347985318,0.9927104722792608,False,False
vitb,rope,42,noise,5,0.4001870282555096,0.9690622861054072,False,False
vitb,rope,42,adversarial,0,0.0,1.0,True,True
vitb,rope,42,adversarial,1,0.0193412983889302,0.9955509924709104,False,True
vitb,rope,42,adversarial,2,0.0326804968523236,0.9876796714579056,False,True
vitb,rope,42,adversarial,3,0.0490109255112114,0.972621492128679,False,True
vitb,rope,42,adversarial,4,0.0795319345600182,0.904517453798768,False,True
vitb,rope,42,adversarial,5,0.1101489733910826,0.7522245037645449,False,True
vitb,rope,42,adversarial,6,0.1373645906919823,0.472621492128679,False,True
vitb,rope,42,adversarial,7,0.1438183980399742,0.3179329226557152,False,True
vitb,rope,42,adversarial,8,0.1522134332619591,0.1851471594798083,False,True
vitb,rope,42,adversarial,9,0.1650690188919318,0.0882956878850102,False,True
vitb,rope,42,adversarial,10,0.176901511386934,0.0602327173169062,False,True
vitb,rope,42,adversarial_raw,0,0.0,1.0,True,False
vitb,rope,42,adversarial_raw,1,0.0193412983889302,0.9955509924709104,False,False
vitb,rope,42,adversarial_raw,2,0.0326804968523236,0.9876796714579056,False,False
vitb,rope,42,adversarial_raw,3,0.0490109255112114,0.972621492128679,False,False
vitb,rope,42,adversarial_raw,4,0.0795319345600182,0.904517453798768,False,False
vitb,rope,42,adversarial_raw,5,0.1101489733910826,0.7522245037645449,False,False
vitb,rope,42,adversarial_raw,6,0.1373645906919823,0.472621492128679,False,False
vitb,rope,42,adversarial_raw,7,0.1438183980399742,0.3179329226557152,False,False
