support_multiplier,rho_endpoint,family,seed,attack_nauc_amp,attack_nauc_fp32,delta_attack_nauc,noise_nauc_amp,noise_nauc_fp32,delta_noise_nauc,gap_amp,gap_fp32,delta_gap
1.0,0.07923839733806452,rope,42,0.854167449586376,0.8476046720406042,0.006562777545771836,0.9993736643542414,0.9979438228550429,0.0014298414991984476,0.14520621476786533,0.15033915081443872,-0.005132936046573389
1.0,0.07923839733806452,rope,123,0.9187858157068857,0.933488887205197,-0.014703071498311293,0.9989426769289005,0.9997941478277579,-0.0008514708988573982,0.08015686122201482,0.06630526062256092,0.013851600599453895
1.0,0.07923839733806452,rope,456,0.8467093962619389,0.8519725008863669,-0.005263104624428028,0.9999001251286608,0.9987932453279297,0.0011068798007310976,0.15319072886672191,0.1468207444415628,0.006369984425159125
1.0,0.07923839733806452,rope,789,0.9675315908185635,0.8232463497812192,0.1442852410373443,0.9994135582222251,1.0000865053956967,-0.0006729471734715498,0.03188196740366156,0.1768401556144774,-0.14495818821081585
1.0,0.07923839733806452,rope,1011,0.9197139376401529,0.8917438201176494,0.027970117522503446,0.9993608503719422,0.999149402485933,0.0002114478860092417,0.07964691273178937,0.10740558236828357,-0.027758669636494204
1.0,0.07923839733806452,rope,1213,0.8889903883110393,0.8487382588383435,0.04025212947269574,0.9989739247907072,0.9991689588220573,-0.0001950340313500165,0.10998353647966796,0.15043069998371372,-0.04044716350404576
0.9,0.07131455760425807,learned,42,0.9349335721542604,0.936583155726443,-0.0016495835721825891,0.9975172725363306,0.9981774526599819,-0.0006601801236513216,0.06258370038207017,0.061594296933538906,0.0009894034485312675
0.9,0.07131455760425807,learned,123,0.8849886101312618,0.8659585224606111,0.01903008767065073,0.9982110218915231,0.9986682982043309,-0.00045727631280778613,0.11322241176026127,0.13270977574371978,-0.019487363983458517
0.9,0.07131455760425807,learned,456,0.8631231819275614,0.8922356904136698,-0.029112508486108357,0.9955668966550671,0.998245246597082,-0.0026783499420148793,0.1324437147275057,0.10600955618341223,0.026434158544093478
0.9,0.07131455760425807,learned,789,0.8830160958174238,0.8558548498341978,0.027161245983226,0.9974170853237405,0.997122367475868,0.00029471784787249433,0.11440098950631672,0.14126751764167023,-0.026866528135353507
0.9,0.07131455760425807,learned,1011,0.7272380592517294,0.8790271120857825,-0.1517890528340532,0.9985493739131007,0.999031009235984,-0.00048163532288325595,0.27131131466137137,0.12000389715020143,0.15130741751116994
0.9,0.07131455760425807,learned,1213,0.8149244975105175,0.8841992401894163,-0.06927474267889877,0.998663823626742,0.9983823077926168,0.0002815158341251678,0.18373932611622446,0.11418306760320052,0.06955625851302394
0.9,0.07131455760425807,sinusoidal,42,0.7984185161270522,0.8381734119441429,-0.039754895817090685,0.9988193399622078,0.9977429329598646,0.0010764070023432382,0.20040082383515567,0.15956952101572175,0.04083130281943392
0.9,0.07131455760425807,sinusoidal,123,0.837444548696381,0.8232980916179422,0.014146457078438757,1.000952767701894,1.0001437672872053,0.0008090004146885654,0.16350821900551293,0.17684567566926312,-0.013337456663750191
0.9,0.07131455760425807,sinusoidal,456,0.7981883600672706,0.7823275280815154,0.015860831985755164,0.999110500492624,0.9997382649755158,-0.0006277644828918127,0.2009221404253534,0.21741073689400037,-0.016488596468646977
