regime,family,seed,budget,rho,accuracy,rho_sd,accuracy_sd,n_draws,source_index
amp_fp16_trained,learned,123,0.005,0.008943436921782304,0.9994425863991081,0.00018042730059510305,0.0008626525626894599,10,2
amp_fp16_trained,learned,123,0.01,0.017938413455581458,0.9991081382385729,0.00035866391095657884,0.0008617627712585676,10,3
amp_fp16_trained,learned,123,0.02,0.03628490423760334,0.9986622073578596,0.0007059027464205067,0.0013248846235224662,10,4
amp_fp16_trained,learned,123,0.04,0.07493520735002007,0.9953548866592344,0.0013500804905831583,0.0023971265304550725,10,5
amp_fp16_trained,learned,123,0.06,0.11551792579674296,0.9919732441471572,0.0019066049834120815,0.0023645811963810565,10,6
amp_fp16_trained,learned,123,0.08,0.15650607142963086,0.986213303604608,0.002397746104824949,0.004191300751121243,10,7
amp_fp16_trained,learned,123,0.12,0.2366683222930849,0.968859160163508,0.00324881448257855,0.009257633067862125,10,8
amp_fp16_trained,learned,456,0.0,0.0,1.0,0.0,0.0,10,0
amp_fp16_trained,learned,456,0.0025,0.004451221681968353,0.999520295202952,4.609531815427109e-05,0.0005232975986761293,10,1
amp_fp16_trained,learned,456,0.005,0.008898263957375113,0.9989667896678966,9.190261039796319e-05,0.0005716580584808014,10,2
amp_fp16_trained,learned,456,0.01,0.017849502361685973,0.9978228782287824,0.0001801604340391108,0.0010925666908340875,10,3
amp_fp16_trained,learned,456,0.02,0.03613689007872612,0.9948708487084872,0.0003481588266676537,0.0018115037208315458,10,4
amp_fp16_trained,learned,456,0.04,0.07486755510604765,0.9917343173431734,0.0006487758599237173,0.0020375182524820395,10,5
amp_fp16_trained,learned,456,0.06,0.11555078341323768,0.9884132841328415,0.0008898073394521998,0.0033378463750230363,10,6
amp_fp16_trained,learned,456,0.08,0.15630811132722003,0.9834686346863469,0.0010867779420436605,0.005287050165753469,10,7
amp_fp16_trained,learned,456,0.12,0.23536823636424575,0.9653136531365314,0.0014242886439849712,0.008056345827214192,10,8
amp_fp16_trained,learned,789,0.0,0.0,1.0,0.0,0.0,10,0
amp_fp16_trained,learned,789,0.0025,0.004573230278715383,0.9998519615099924,3.816091371404314e-05,0.0004995918265807206,10,1
amp_fp16_trained,learned,789,0.005,0.00914837220103017,0.9997039230199851,7.5765692713657e-05,0.0007564623595734409,10,2
amp_fp16_trained,learned,789,0.01,0.01837982663134634,0.9991487786824573,0.00015089739112355966,0.0011041031746984449,10,3
amp_fp16_trained,learned,789,0.02,0.037376932997560744,0.9964840858623241,0.00030393951504333305,0.001975773177651981,10,4
amp_fp16_trained,learned,789,0.04,0.07810405096292719,0.9952997779422649,0.000622890987287293,0.0021371076469913824,10,5
amp_fp16_trained,learned,789,0.06,0.12096885969206475,0.9926720947446335,0.0008936294903223752,0.002319794576569108,10,6
amp_fp16_trained,learned,789,0.08,0.16362515092778998,0.9870096225018503,0.0011077640213252092,0.003776069856605359,10,7
amp_fp16_trained,learned,789,0.12,0.245715584321978,0.9617690599555884,0.0015142641025912094,0.005588466614253839,10,8
amp_fp16_trained,learned,1011,0.0,0.0,1.0,0.0,0.0,10,0
amp_fp16_trained,learned,1011,0.0025,0.004935979906692714,1.0000371333085778,9.98607525933102e-05,0.0003251374065247313,10,1
amp_fp16_trained,learned,1011,0.005,0.00987353277986949,1.0002970664686224,0.00019637720190166823,0.0006958024172573224,10,2
amp_fp16_trained,learned,1011,0.01,0.01982286307032361,0.9992573338284441,0.0003791196019192633,0.0011742583216369758,10,3
amp_fp16_trained,learned,1011,0.02,0.04017827941627413,0.9984775343483104,0.0007046683582353397,0.0019449253496243329,10,4
amp_fp16_trained,learned,1011,0.04,0.08277391084633332,0.9956925362049758,0.0011102031572046325,0.002638527064136477,10,5
amp_fp16_trained,learned,1011,0.06,0.12603653852230706,0.9926104715930189,0.0010606000685784332,0.0033141463459168312,10,6
amp_fp16_trained,learned,1011,0.08,0.1685029351553348,0.9864834756776828,0.0009226530304284627,0.006420233435531084,10,7
amp_fp16_trained,learned,1011,0.12,0.2506697461533004,0.9646119569253621,0.0011830204535335732,0.012731725840521846,10,8
amp_fp16_trained,learned,1213,0.0,0.0,1.0,0.0,0.0,10,0
amp_fp16_trained,learned,1213,0.0025,0.0047109455045510566,0.9995934959349594,4.810875078978136e-05,0.0006388914747420344,10,1
amp_fp16_trained,learned,1213,0.005,0.009422683016411564,0.9994826311899484,9.67067167213159e-05,0.0009251038854653311,10,2
amp_fp16_trained,learned,1213,0.01,0.01892681873128505,0.9993717664449372,0.00019322378064548805,0.001143016576463344,10,3
amp_fp16_trained,learned,1213,0.02,0.038456347726559176,0.9984478935698448,0.0003845443577454532,0.0020449870381322372,10,4
amp_fp16_trained,learned,1213,0.04,0.07995746941118034,0.997339246119734,0.0007181533582483841,0.0022090674325163737,10,5
amp_fp16_trained,learned,1213,0.06,0.12287560519834262,0.9937915742793793,0.000930649346440428,0.002861455020100451,10,6
amp_fp16_trained,learned,1213,0.08,0.16512361686134505,0.98739837398374,0.0010851041867323654,0.0037905568221579746,10,7
amp_fp16_trained,learned,1213,0.12,0.2459187747121289,0.96359940872136,0.0013730435340656758,0.008115603734089585,10,8
amp_fp16_trained,rope,42,0.0,0.00011242630826539018,0.999652536483669,1.4285617954820562e-20,1.1702778228589004e-16,10,0
amp_fp16_trained,rope,42,0.025,0.023653491646741916,0.9999305072967338,0.0003787139902915673,0.0005626572991193334,10,1
amp_fp16_trained,rope,42,0.05,0.04732409463937065,0.9992355802640722,0.000754729171383572,0.0013185313384996742,10,2
amp_fp16_trained,rope,42,0.1,0.09479563048970555,0.998262682418346,0.0014939866515244731,0.0021293463413076226,10,3
amp_fp16_trained,rope,42,0.2,0.1906426483987143,0.9940236275191104,0.002886568076027322,0.002520541210791861,10,4
amp_fp16_trained,rope,42,0.4,0.3859397819454916,0.9681028492008339,0.005049470820934337,0.0041721352059002,10,5
amp_fp16_trained,rope,42,0.6,0.5784570361238732,0.8950660180681028,0.0061123633229605455,0.012809633136621288,10,6
amp_fp16_trained,rope,123,0.0,0.00010622782201002595,1.0,1.4285617954820562e-20,0.0,10,0
amp_fp16_trained,rope,123,0.025,0.022334047426502256,0.9994786235662149,0.0002566908508685692,0.000806881489814886,10,1
amp_fp16_trained,rope,123,0.05,0.044694929460322094,0.9989572471324297,0.0005096470650997838,0.0008192640264008344,10,2
amp_fp16_trained,rope,123,0.1,0.08959636110124272,0.997115050399722,0.0009980299942193233,0.0015110924657131886,10,3
amp_fp16_trained,rope,123,0.2,0.18059239253724962,0.9921793534932222,0.0018654794609275788,0.0012179235338679252,10,4
amp_fp16_trained,rope,123,0.4,0.3683018005111661,0.9697254084115399,0.003071153301727411,0.0021949549575522643,10,5
amp_fp16_trained,rope,123,0.6,0.5582704781138289,0.9045533541883908,0.003526682708082837,0.007851610326358489,10,6
amp_fp16_trained,rope,456,0.0,0.00010255128380229776,1.0003502626970227,0.0,0.0,10,0
amp_fp16_trained,rope,456,0.025,0.02180851302293698,1.000385288966725,0.00038021153257726986,0.0009691304597523428,10,1
amp_fp16_trained,rope,456,0.05,0.04363913180322228,1.000525394045534,0.0007589222178238727,0.0008929981635013794,10,2
amp_fp16_trained,rope,456,0.1,0.0874714808655462,0.9974430823117337,0.0014989105109644598,0.001070706971919252,10,3
amp_fp16_trained,rope,456,0.2,0.17633845482249028,0.9915236427320491,0.0028415665516069322,0.0021067588686309617,10,4
amp_fp16_trained,rope,456,0.4,0.36024503757924176,0.9676007005253939,0.004796787403074501,0.00688206532580814,10,5
amp_fp16_trained,rope,456,0.6,0.5472220810529188,0.9000350262697022,0.005527129037602257,0.01972227477442032,10,6
amp_fp16_trained,rope,789,0.0,0.00010019130254373863,1.0,0.0,0.0,10,0
amp_fp16_trained,rope,789,0.025,0.022238171336209714,0.999791449426486,0.0004066829378338286,0.0007720232301683463,10,1
amp_fp16_trained,rope,789,0.05,0.04449407796975435,0.9992005561348627,0.0008096653462367307,0.0009700584260889717,10,2
amp_fp16_trained,rope,789,0.1,0.08915564589581207,0.9988182134167536,0.0015904108469943956,0.0018839510252974614,10,3
