support_multiplier,rho_endpoint,regime,family,family_label,seed,attack_nauc,noise_nauc,noise_minus_attack_gap
0.9,0.07131455760425807,full_fp32_trained,rope,RoPE,123,0.9548492855507464,0.999844475246541,0.044995189695794524
0.9,0.07131455760425807,full_fp32_trained,rope,RoPE,456,0.8926441047000232,0.9989443723798597,0.10630026767983647
0.9,0.07131455760425807,full_fp32_trained,rope,RoPE,789,0.8749449011406284,1.0001014352796593,0.12515653413903094
0.9,0.07131455760425807,full_fp32_trained,rope,RoPE,1011,0.9244412783914715,0.9992641073876788,0.07482282899620729
0.9,0.07131455760425807,full_fp32_trained,rope,RoPE,1213,0.8887952825803097,0.9992124921923192,0.11041720961200951
0.9,0.07131455760425807,amp_fp16_trained,learned,Learned,42,0.9349335721542604,0.9975172725363306,0.06258370038207017
0.9,0.07131455760425807,amp_fp16_trained,learned,Learned,123,0.8849886101312618,0.9982110218915231,0.11322241176026127
0.9,0.07131455760425807,amp_fp16_trained,learned,Learned,456,0.8631231819275614,0.9955668966550671,0.1324437147275057
0.9,0.07131455760425807,amp_fp16_trained,learned,Learned,789,0.8830160958174238,0.9974170853237405,0.11440098950631672
0.9,0.07131455760425807,amp_fp16_trained,learned,Learned,1011,0.7272380592517294,0.9985493739131007,0.27131131466137137
0.9,0.07131455760425807,amp_fp16_trained,learned,Learned,1213,0.8149244975105175,0.998663823626742,0.18373932611622446
0.9,0.07131455760425807,amp_fp16_trained,sinusoidal,Sinusoidal,42,0.7984185161270522,0.9988193399622078,0.20040082383515567
0.9,0.07131455760425807,amp_fp16_trained,sinusoidal,Sinusoidal,123,0.837444548696381,1.000952767701894,0.16350821900551293
0.9,0.07131455760425807,amp_fp16_trained,sinusoidal,Sinusoidal,456,0.7981883600672706,0.999110500492624,0.2009221404253534
0.9,0.07131455760425807,amp_fp16_trained,sinusoidal,Sinusoidal,789,0.7997895451717986,1.000096643404605,0.20030709823280646
0.9,0.07131455760425807,amp_fp16_trained,sinusoidal,Sinusoidal,1011,0.8177416114481765,0.9996158926354515,0.181874281187275
0.9,0.07131455760425807,amp_fp16_trained,sinusoidal,Sinusoidal,1213,0.8180981819829549,0.9967522220146238,0.17865404003166885
0.9,0.07131455760425807,amp_fp16_trained,rope,RoPE,42,0.894425996510561,0.9994526587716848,0.10502666226112378
0.9,0.07131455760425807,amp_fp16_trained,rope,RoPE,123,0.9443314228028938,0.9990804676476025,0.05474904484470866
0.9,0.07131455760425807,amp_fp16_trained,rope,RoPE,456,0.8886656734000894,1.000077845612013,0.11141217221192357
0.9,0.07131455760425807,amp_fp16_trained,rope,RoPE,789,0.9760677633739918,0.9994665056430583,0.023398742269066464
0.9,0.07131455760425807,amp_fp16_trained,rope,RoPE,1011,0.9482245736360537,0.9994902559137121,0.051265682277658375
0.9,0.07131455760425807,amp_fp16_trained,rope,RoPE,1213,0.9239598637744411,0.9990626911161785,0.07510282734173745
0.75,0.05942879800354839,full_fp32_trained,learned,Learned,42,0.9555098007756383,0.9985236635547987,0.04301386277916042
0.75,0.05942879800354839,full_fp32_trained,learned,Learned,123,0.9191898376583608,0.9988659671776116,0.07967612951925074
0.75,0.05942879800354839,full_fp32_trained,learned,Learned,456,0.9265464697458464,0.9985231618771458,0.07197669213129942
0.75,0.05942879800354839,full_fp32_trained,learned,Learned,789,0.9073142454495374,0.9975200315156167,0.09020578606607932
0.75,0.05942879800354839,full_fp32_trained,learned,Learned,1011,0.919814573020173,0.9992181216413383,0.07940354862116528
0.75,0.05942879800354839,full_fp32_trained,learned,Learned,1213,0.927420232495233,0.9986790675822207,0.07125883508698772
0.75,0.05942879800354839,full_fp32_trained,sinusoidal,Sinusoidal,42,0.8856983703607786,0.9981272444275694,0.11242887406679081
0.75,0.05942879800354839,full_fp32_trained,sinusoidal,Sinusoidal,123,0.8746107879431553,1.0000878776325983,0.12547708968944304
0.75,0.05942879800354839,full_fp32_trained,sinusoidal,Sinusoidal,456,0.846219358742382,0.9999003884267683,0.15368102968438635
0.75,0.05942879800354839,full_fp32_trained,sinusoidal,Sinusoidal,789,0.8921485564545103,0.9986649812728433,0.10651642481833301
0.75,0.05942879800354839,full_fp32_trained,sinusoidal,Sinusoidal,1011,0.862221473662028,0.9995799908142197,0.13735851715219172
0.75,0.05942879800354839,full_fp32_trained,sinusoidal,Sinusoidal,1213,0.8369527353698281,0.9987669017140343,0.1618141663442062
