support_multiplier,regime,family,metric,n,mean,sd,cv_abs,median,mad,q1,q3,min,max
0.75,full_fp32_trained,rope,noise_minus_attack_gap,6,0.05090258741650122,0.013641327000086785,0.26798887232330826,0.057913408123713594,0.002896569712083019,0.043256626117957775,0.060533219966340535,0.028839060689091256,0.0609721248659002
0.75,full_fp32_trained,sinusoidal,attack_nauc,6,0.8663085470887805,0.021884432243198353,0.02526170648637916,0.8684161308025916,0.01973950580919831,0.8502198874722935,0.8829264747563728,0.8369527353698281,0.8921485564545103
0.75,full_fp32_trained,sinusoidal,noise_nauc,6,0.9991878973813387,0.0007806418512142075,0.0007812763277658842,0.999173446264127,0.0006177035769625028,0.9986904613831411,0.9998202890236312,0.9981272444275694,1.0000878776325983
0.75,full_fp32_trained,sinusoidal,noise_minus_attack_gap,6,0.1328793502925585,0.02217212511545167,0.16685907228350852,0.13141780342081738,0.02062607780879777,0.11569092797245387,0.1496004015513377,0.10651642481833301,0.1618141663442062
0.9,amp_fp16_trained,learned,attack_nauc,6,0.8513706694654591,0.07209675106022453,0.08468315111852648,0.8730696388724926,0.03503205631037215,0.8269741686147785,0.8844954815528023,0.7272380592517294,0.9349335721542604
0.9,amp_fp16_trained,learned,noise_nauc,6,0.9976542456577508,0.0011456469405986972,0.0011483406657016482,0.9978641472139269,0.0005661442946801043,0.997442132126888,0.9984647859077063,0.9955668966550671,0.998663823626742
0.9,amp_fp16_trained,learned,noise_minus_attack_gap,6,0.14628357619229163,0.0725832205023423,0.4961816110301455,0.12342235211691122,0.035258457177981595,0.11351705619677513,0.17091542326904477,0.06258370038207017,0.27131131466137137
0.9,amp_fp16_trained,rope,attack_nauc,6,0.9292792155830053,0.033666499462690395,0.0362286155744578,0.9341456432886674,0.02689928856274637,0.901809463326531,0.9472512859277638,0.8886656734000894,0.9760677633739918
0.9,amp_fp16_trained,rope,noise_nauc,6,0.9994384041173748,0.0003692819249366813,0.00036948942867850065,0.9994595822073715,0.00020489413305480042,0.9991735154286231,0.9994843183460487,0.9990626911161785,1.000077845612013
0.9,amp_fp16_trained,rope,noise_minus_attack_gap,6,0.07015918853436971,0.03383183528330329,0.4822153161981012,0.06492593609322306,0.026880489991732703,0.05213652291942095,0.0975457035312772,0.023398742269066464,0.11141217221192357
0.9,amp_fp16_trained,sinusoidal,attack_nauc,6,0.8116134605822722,0.01575433791999449,0.019411134345519512,0.8087655783099875,0.009839832927951375,0.7987612733882388,0.8180090393492603,0.7981883600672706,0.837444548696381
0.9,amp_fp16_trained,sinusoidal,noise_nauc,6,0.9992245610352343,0.0014275882124212987,0.0014286960790297863,0.9993631965640377,0.0006386517211985909,0.9988921300948119,0.9999764557123166,0.9967522220146238,1.000952767701894
0.9,amp_fp16_trained,sinusoidal,noise_minus_attack_gap,6,0.18761110045296206,0.015466338220232263,0.08243828954092186,0.19109068971004073,0.009570792420213803,0.17945910032057039,0.20037739243456837,0.16350821900551293,0.2009221404253534
0.9,full_fp32_trained,learned,attack_nauc,6,0.8856430951183535,0.028139047581088122,0.031772446187623406,0.8816131761375994,0.013138583976529339,0.869225669866904,0.8902265778576064,0.8558548498341978,0.936583155726443
0.9,full_fp32_trained,learned,noise_nauc,6,0.9982711136609773,0.0006444564015059429,0.0006455725230218438,0.9983137771948494,0.00024542277217448616,0.998194401144257,0.9985968006014023,0.997122367475868,0.999031009235984
0.9,full_fp32_trained,learned,noise_minus_attack_gap,6,0.11262801854262385,0.028030570557933537,0.24887741896414012,0.11709348237670097,0.013350109780153774,0.1080529340383593,0.1295333060953402,0.061594296933538906,0.14126751764167023
0.9,full_fp32_trained,rope,attack_nauc,6,0.9039804194376053,0.0298570923921282,0.03302847246481648,0.8907196936401665,0.009143410938626084,0.8883545688419167,0.9164919849686094,0.8749449011406284,0.9548492855507464
0.9,full_fp32_trained,rope,noise_nauc,6,0.9992406404837872,0.0007139822422470179,0.0007145248234712911,0.999238299789999,0.000450051433340648,0.9990114023329746,0.9996993832818254,0.9980769604166664,1.0001014352796593
0.9,full_fp32_trained,rope,noise_minus_attack_gap,6,0.09526022104618213,0.02967521495988014,0.3115173850530286,0.10808478191702525,0.009702089958494975,0.08269218866711459,0.11028023124756064,0.044995189695794524,0.12515653413903094
0.9,full_fp32_trained,sinusoidal,attack_nauc,6,0.8116946847744081,0.031557529535136866,0.03887857112666391,0.8163066687160174,0.027216079058994036,0.7890744575146598,0.8344545818625927,0.7681817475828757,0.8488720836058801
0.9,full_fp32_trained,sinusoidal,noise_nauc,6,0.9989696690088467,0.0009477534316517992,0.000948730938540043,0.9990233173284585,0.000795925400969677,0.9982635446993755,0.9996616233266729,0.9977429329598646,1.0001437672872053
0.9,full_fp32_trained,sinusoidal,noise_minus_attack_gap,6,0.18727498423443836,0.03193518746214989,0.17052564491033217,0.1834810641176573,0.02892060793913931,0.1638885596791071,0.21058716581201314,0.14927433056769635,0.23043318869389717
1.0,amp_fp16_trained,learned,attack_nauc,6,0.8157248027182135,0.07298068451787722,0.089467286362614,0.8333973944132925,0.03842749524172606,0.7859854218189324,0.8464396484904183,0.696931176946366,0.9096543530660574
1.0,amp_fp16_trained,learned,noise_nauc,6,0.9974227246750575,0.0012145064988509898,0.0012176447045024509,0.9976431016043119,0.0005496973806385919,0.9972508497119463,0.9982152200900729,0.9951802489830948,0.9985438705254762
1.0,amp_fp16_trained,learned,noise_minus_attack_gap,6,0.18169792195684412,0.0734702318803546,0.4043537267190367,0.16279938772122332,0.03873805539513947,0.151305742995053,0.2117175433209485,0.08770909992391696,0.30138153310084814
1.0,amp_fp16_trained,rope,attack_nauc,6,0.8993164297208259,0.045521381857991795,0.05061775850367035,0.9038881020089624,0.032773244026888415,0.8628731842675419,0.9194819071568361,0.8467093962619389,0.9675315908185635
1.0,amp_fp16_trained,rope,noise_nauc,6,0.9993274666327796,0.0003497579644537574,0.0003499933466576898,0.9993672573630918,0.0002198167157589359,0.999070656186016,0.9994035847552292,0.9989426769289005,0.9999001251286608
1.0,amp_fp16_trained,rope,noise_minus_attack_gap,6,0.1000110369119535,0.04565214221365171,0.4564710418295371,0.09507019885084139,0.03277965101803798,0.07977439985434573,0.136400545195816,0.03188196740366156,0.15319072886672191
