regime,family,seed,budget,rho,accuracy,accuracy_percent,attack_loss,restart_loss_min,restart_loss_max,restart_loss_spread,source_index
full_fp32_trained,sinusoidal,42,0.0075,0.0653226278900405,0.6090610157106321,48.12355658198614,2.3361752584576605,2.3360068198293447,2.3361752584576605,0.00016843862831583678,4
full_fp32_trained,sinusoidal,42,0.008,0.07570343984941286,0.4187066130800146,33.083140877598154,3.071194423735142,3.071014442294836,3.071194423735142,0.00017998144030562102,5
full_fp32_trained,sinusoidal,42,0.0085,0.08427980325601139,0.25502374862988675,20.150115473441108,3.828596004098654,3.828296273201704,3.828596004098654,0.00029973089695012334,6
full_fp32_trained,sinusoidal,42,0.009,0.09002255147244083,0.13883814395323346,10.969976905311778,4.325283229351044,4.325185424089431,4.325283229351044,9.780526161229375e-05,7
full_fp32_trained,sinusoidal,42,0.0095,0.0937996064798943,0.09316770186335403,7.361431870669746,4.621020589768887,4.620922444760799,4.621020589768887,9.814500808769111e-05,8
full_fp32_trained,sinusoidal,42,0.01,0.0959505328260359,0.07234198027036902,5.715935334872979,4.821736754477024,4.821496866643429,4.821736754477024,0.00023988783359563115,9
full_fp32_trained,sinusoidal,123,0.0,0.0,1.0,78.14665127020785,,,,0.0,0
full_fp32_trained,sinusoidal,123,0.005,0.019552783144099434,0.9412633912079793,73.55658198614319,1.1661827405449003,1.1661634771618992,1.1661827405449003,1.9263383001177914e-05,1
full_fp32_trained,sinusoidal,123,0.006,0.03180748287173903,0.8880679719246398,69.39953810623557,1.31440487857908,1.314349222043529,1.31440487857908,5.565653555095196e-05,2
full_fp32_trained,sinusoidal,123,0.007,0.049706209776104626,0.7724418175101588,60.36374133949192,1.6971658995375036,1.6970436005853116,1.6971658995375036,0.0001222989521920681,3
full_fp32_trained,sinusoidal,123,0.0075,0.05920195954710851,0.6557074251939417,51.24133949191686,2.0967279732227326,2.0963790429756046,2.0967279732227326,0.0003489302471280098,4
full_fp32_trained,sinusoidal,123,0.008,0.06751198420668154,0.5408200960472849,42.263279445727484,2.610766561701894,2.6103848308324813,2.610766561701894,0.000381730869412511,5
full_fp32_trained,sinusoidal,123,0.0085,0.07470770498794613,0.39785740672330994,31.09122401847575,3.1682945881038904,3.1679567083716393,3.1682945881038904,0.0003378797322510785,6
full_fp32_trained,sinusoidal,123,0.009,0.08096359553745847,0.2744735869966753,21.44919168591224,3.6622491806745527,3.6620993718504904,3.6622491806745527,0.0001498088240623474,7
full_fp32_trained,sinusoidal,123,0.0095,0.08516399362850376,0.19726634650905062,15.415704387990763,4.043422357738018,4.043365478515625,4.043422357738018,5.687922239339116e-05,8
full_fp32_trained,sinusoidal,123,0.01,0.08809552955874674,0.1407462135205024,10.998845265588914,4.321756722033024,4.32162132114172,4.321756722033024,0.00013540089130437138,9
full_fp32_trained,sinusoidal,456,0.0,0.0,1.0,79.21478060046189,,,,0.0,0
full_fp32_trained,sinusoidal,456,0.005,0.023292394391369216,0.9205539358600583,72.92147806004618,1.252935041487217,1.2529119648039342,1.252935041487217,2.3076683282718946e-05,1
full_fp32_trained,sinusoidal,456,0.006,0.035537160030158964,0.8447521865889213,66.91685912240185,1.4837224784772842,1.4836361101828515,1.4837224784772842,8.636829443275928e-05,2
full_fp32_trained,sinusoidal,456,0.007,0.052285919202297,0.673469387755102,53.34872979214781,2.068112449347973,2.0679709354415534,2.068112449347973,0.000141513906419366,3
full_fp32_trained,sinusoidal,456,0.0075,0.05952095346588745,0.5572157434402333,44.13972286374134,2.545909227989614,2.5457375045865773,2.545909227989614,0.00017172340303650557,4
full_fp32_trained,sinusoidal,456,0.008,0.06676554355099984,0.4387755102040817,34.75750577367206,3.039635603129864,3.0395827956497667,3.039635603129864,5.280748009717229e-05,5
full_fp32_trained,sinusoidal,456,0.0085,0.07267999527379779,0.3509475218658892,27.800230946882216,3.501643879711628,3.5014787703752517,3.501643879711628,0.00016510933637636782,6
full_fp32_trained,sinusoidal,456,0.009,0.0772626130429571,0.26457725947521865,20.958429561200923,3.8824211940169335,3.8819486893713475,3.8824211940169335,0.0004725046455860138,7
full_fp32_trained,sinusoidal,456,0.0095,0.07923839733806452,0.21027696793002917,16.657043879907622,4.1911487698554994,4.189576641470194,4.1911487698554994,0.0015721283853054047,8
full_fp32_trained,sinusoidal,456,0.01,0.07275940093363417,0.18549562682215745,14.693995381062356,4.520299622416497,4.519427363574505,4.520299622416497,0.0008722588419916022,9
full_fp32_trained,sinusoidal,789,0.0,0.0,1.0,78.95496535796767,,,,0.0,0
full_fp32_trained,sinusoidal,789,0.005,0.01985691084711072,0.946617915904936,74.74018475750577,1.2174519067630172,1.2173972188029438,1.2174519067630172,5.468796007335186e-05,1
full_fp32_trained,sinusoidal,789,0.006,0.031309892073986885,0.9082266910420476,71.70900692840647,1.3661528282333166,1.3661180822178722,1.3661528282333166,3.4746015444397926e-05,2
