regime,family,family_label,seed,clean_accuracy_percent,max_rho_rel,epsilon_at_max_rho,min_normalized_accuracy,epsilon_at_min_accuracy,rho_nonmonotone_step_count,raw_accuracy_increase_step_count,q80_status,epsilon80,rho80,q50_status,epsilon50,rho50,q20_status,epsilon20,rho20,q80_epsilon_left,q80_epsilon_right,q80_rho_left,q80_rho_right,q80_accuracy_left,q80_accuracy_right,q80_epsilon_bracket_width,q80_rho_bracket_abs_width,q80_rho_bracket_signed_delta,q50_epsilon_left,q50_epsilon_right,q50_rho_left,q50_rho_right,q50_accuracy_left,q50_accuracy_right,q50_epsilon_bracket_width,q50_rho_bracket_abs_width,q50_rho_bracket_signed_delta,q20_epsilon_left,q20_epsilon_right,q20_rho_left,q20_rho_right,q20_accuracy_left,q20_accuracy_right,q20_epsilon_bracket_width,q20_rho_bracket_abs_width,q20_rho_bracket_signed_delta,cliff_width_rho20_minus_rho80
amp_fp16_trained,rope,RoPE,1011,82.93879907621248,0.12239400296280072,0.1,0.07483466759484858,0.1,0,0,IDENTIFIED,0.05389766081871345,0.06707289852556762,IDENTIFIED,0.0664985380116959,0.0850524540953022,IDENTIFIED,0.085953125,0.10822843641275025,0.05,0.075,0.06151152305870229,0.09718276104947397,0.8927949878176122,0.29759832927253743,0.024999999999999994,0.03567123799077168,0.03567123799077168,0.05,0.075,0.06151152305870229,0.09718276104947397,0.8927949878176122,0.29759832927253743,0.024999999999999994,0.03567123799077168,0.03567123799077168,0.075,0.1,0.09718276104947397,0.12239400296280072,0.29759832927253743,0.07483466759484858,0.02500000000000001,0.025211241913326743,0.025211241913326743,0.041155537887182625
full_fp32_trained,rope,RoPE,1011,82.50577367205543,0.12291580692759205,0.1,0.07522743177046885,0.1,0,0,IDENTIFIED,0.05423764145324598,0.061697147707354384,IDENTIFIED,0.06700416914830257,0.08181136518028642,IDENTIFIED,0.08683161004431315,0.10790033229957968,0.05,0.075,0.05502056000873477,0.09440914309370431,0.8995801259622114,0.31210636808957315,0.024999999999999994,0.039388583084969536,0.039388583084969536,0.05,0.075,0.05502056000873477,0.09440914309370431,0.8995801259622114,0.31210636808957315,0.024999999999999994,0.039388583084969536,0.039388583084969536,0.075,0.1,0.09440914309370431,0.12291580692759205,0.31210636808957315,0.07522743177046885,0.02500000000000001,0.028506663833887738,0.028506663833887738,0.0462031845922253
amp_fp16_trained,rope,RoPE,1213,82.39030023094688,0.12187545140730031,0.1,0.07428170988086896,0.1,0,0,IDENTIFIED,0.054261083743842364,0.06144154720769836,IDENTIFIED,0.06744150246305419,0.07982806717913149,IDENTIFIED,0.08761049723756906,0.10626300569383978,0.05,0.075,0.055497388450290404,0.09037207711369546,0.8969866853538893,0.3279607568325158,0.024999999999999994,0.03487468866340506,0.03487468866340506,0.05,0.075,0.055497388450290404,0.09037207711369546,0.8969866853538893,0.3279607568325158,0.024999999999999994,0.03487468866340506,0.03487468866340506,0.075,0.1,0.09037207711369546,0.12187545140730031,0.3279607568325158,0.07428170988086896,0.02500000000000001,0.03150337429360485,0.03150337429360485,0.04482145848614143
full_fp32_trained,rope,RoPE,1213,83.11200923787528,0.11552437829711201,0.1,0.08648836401528309,0.1,0,0,IDENTIFIED,0.05355185909980431,0.05509503634573803,IDENTIFIED,0.06763698630136986,0.0745142752667945,IDENTIFIED,0.08894451962110961,0.1018780782251913,0.05,0.075,0.0501980695320225,0.08466570096189348,0.87565126780132,0.34317471344216743,0.024999999999999994,0.03446763142987098,0.03446763142987098,0.05,0.075,0.0501980695320225,0.08466570096189348,0.87565126780132,0.34317471344216743,0.024999999999999994,0.03446763142987098,0.03446763142987098,0.075,0.1,0.08466570096189348,0.11552437829711201,0.34317471344216743,0.08648836401528309,0.02500000000000001,0.030858677335218535,0.030858677335218535,0.046783041879453265
amp_fp16_trained,sinusoidal,Sinusoidal,42,78.72401847575058,0.0910491492117893,0.0095,0.048404840484048396,0.0095,1,1,IDENTIFIED,0.006048294679399727,0.044665759073986296,IDENTIFIED,0.007116990291262136,0.06375999028016952,IDENTIFIED,0.007996018735362998,0.07831763267065812,0.006,0.007,0.04380177495905654,0.061691615530907414,0.8129812981298129,0.5441877521085441,0.001,0.017889840571850876,0.017889840571850876,0.007,0.0075,0.061691615530907414,0.07053155740534711,0.5441877521085441,0.35533553355335534,0.0004999999999999996,0.008839941874439698,0.008839941874439698,0.0075,0.008,0.07053155740534711,0.07838012713690472,0.35533553355335534,0.19875320865419874,0.0005000000000000004,0.007848569731557606,0.007848569731557606,0.03365187359667183
full_fp32_trained,sinusoidal,Sinusoidal,42,79.01270207852194,0.0959505328260359,0.01,0.07234198027036902,0.01,0,0,IDENTIFIED,0.006663270777479893,0.04725855976328279,IDENTIFIED,0.007786468330134357,0.07127017562492083,IDENTIFIED,0.008736792452830188,0.08699948212832043,0.006,0.007,0.03344135095590618,0.05427327854342225,0.8903909389842893,0.7541103397880892,0.001,0.02083192758751607,0.02083192758751607,0.0075,0.008,0.0653226278900405,0.07570343984941286,0.6090610157106321,0.4187066130800146,0.0005000000000000004,0.010380811959372363,0.010380811959372363,0.0085,0.009,0.08427980325601139,0.09002255147244083,0.25502374862988675,0.13883814395323346,0.0004999999999999987,0.005742748216429436,0.005742748216429436,0.03974092236503764
amp_fp16_trained,sinusoidal,Sinusoidal,123,78.66628175519631,0.0895809148347027,0.01,0.1456880733944954,0.01,0,0,IDENTIFIED,0.007081439393939393,0.047017746995512644,IDENTIFIED,0.008333561643835617,0.07123438551357952,IDENTIFIED,0.009635467980295567,0.08674210166357584,0.007,0.0075,0.045196570387334246,0.056377747702662226,0.8157798165137613,0.7188990825688073,0.0004999999999999996,0.01118117731532798,0.01118117731532798,0.008,0.0085,0.06567840742668932,0.0740066702674077,0.5893577981651376,0.45541284403669724,0.0005000000000000004,0.008328262840718387,0.008328262840718387,0.0095,0.01,0.08568713730944086,0.0895809148347027,0.2201834862385321,0.1456880733944954,0.0005000000000000004,0.003893777525261835,0.003893777525261835,0.03972435466806319
full_fp32_trained,sinusoidal,Sinusoidal,123,78.14665127020785,0.08809552955874674,0.01,0.1407462135205024,0.01,0,0,IDENTIFIED,0.006761661341853035,0.04544025122317914,IDENTIFIED,0.008142764857881138,0.06956657631606071,IDENTIFIED,0.009482296650717703,0.08501527139944282,0.006,0.007,0.03180748287173903,0.049706209776104626,0.8880679719246398,0.7724418175101588,0.001,0.017898726904365593,0.017898726904365593,0.008,0.0085,0.06751198420668154,0.07470770498794613,0.5408200960472849,0.39785740672330994,0.0005000000000000004,0.0071957207812645835,0.0071957207812645835,0.009,0.0095,0.08096359553745847,0.08516399362850376,0.2744735869966753,0.19726634650905062,0.0005000000000000004,0.00420039809104529,0.00420039809104529,0.03957502017626367
amp_fp16_trained,sinusoidal,Sinusoidal,456,77.82909930715935,0.09709398109180732,0.01,0.07307121661721068,0.01,0,0,IDENTIFIED,0.006398139534883721,0.040724427807195644,IDENTIFIED,0.007712895377128954,0.06647630855732396,IDENTIFIED,0.008928464419475654,0.08385648338402271,0.006,0.007,0.033201659437363355,0.05209646317000287,0.8635014836795253,0.7040059347181009,0.001,0.018894803732639513,0.018894803732639513,0.0075,0.008,0.06286810019881468,0.0713422352579422,0.5649109792284867,0.41246290801186947,0.0005000000000000004,0.008474135059127516,0.008474135059127516,0.0085,0.009,0.07862085070650637,0.08473061436427237,0.28486646884273,0.18583086053412465,0.0004999999999999987,0.006109763657765999,0.006109763657765999,0.04313205557682707
full_fp32_trained,sinusoidal,Sinusoidal,456,79.21478060046189,0.07923839733806452,0.0095,0.18549562682215745,0.01,1,0,IDENTIFIED,0.006261276595744681,0.039913218809602684,IDENTIFIED,0.007741538461538462,0.06302064775315713,IDENTIFIED,0.00970735294117647,0.0765515194174037,0.006,0.007,0.035537160030158964,0.052285919202297,0.8447521865889213,0.673469387755102,0.001,0.016748759172138035,0.016748759172138035,0.0075,0.008,0.05952095346588745,0.06676554355099984,0.5572157434402333,0.4387755102040817,0.0005000000000000004,0.0072445900851123915,0.0072445900851123915,0.0095,0.01,0.07923839733806452,0.07275940093363417,0.21027696793002917,0.18549562682215745,0.0005000000000000004,0.006478996404430351,-0.006478996404430351,0.03663830060780101
