support_multiplier,rho_endpoint,family,family_label,metric,amp_mean,amp_sd,fp32_mean,fp32_sd,n,mean_delta_amp_minus_fp32,sd_delta,ci90_t_low,ci90_t_high,ci95_t_low,ci95_t_high,ci95_bootstrap_low,ci95_bootstrap_high,positive_deltas,negative_deltas,zero_deltas,exact_sign_flip_p_two_sided,min_delta,max_delta
0.9,0.07131455760425807,learned,Learned,noise_nauc,0.9976542456577508,0.0011456469405986972,0.9982711136609773,0.0006444564015059429,6,-0.0006168680032265968,0.0010893505764765076,-0.0015130114198649745,0.00027927541341178077,-0.0017600713225222804,0.0005263353160690865,-0.0014825582397423414,3.559262138404703e-05,2,4,0,0.1875,-0.0026783499420148793,0.00029471784787249433
0.9,0.07131455760425807,learned,Learned,noise_minus_attack_gap,0.14628357619229163,0.0725832205023423,0.11262801854262385,0.028030570557933537,6,0.03365555764966777,0.06743461970554772,-0.021818861520424282,0.08912997681975982,-0.03711273563216606,0.1044238509315016,-0.009650843015517385,0.08717435690921228,4,2,0,0.3125,-0.026866528135353507,0.15130741751116994
0.9,0.07131455760425807,sinusoidal,Sinusoidal,attack_nauc,0.8116134605822722,0.01575433791999449,0.8116946847744081,0.031557529535136866,6,-8.122419213587213e-05,0.03742686210868776,-0.030870060043875276,0.030707611659603534,-0.03935830717846538,0.039195858794193635,-0.0271192189165827,0.025973621731917956,4,2,0,1.0,-0.0490825384340815,0.0499164344000792
0.9,0.07131455760425807,sinusoidal,Sinusoidal,noise_nauc,0.9992245610352343,0.0014275882124212987,0.9989696690088467,0.0009477534316517992,6,0.0002548920263878059,0.0013508832873793495,-0.000856398673569813,0.0013661827263454246,-0.0011627730407279327,0.0016725570935035444,-0.0007687614965778596,0.0011847217712043039,4,2,0,0.59375,-0.0018627142621491233,0.0019502292310286107
0.9,0.07131455760425807,sinusoidal,Sinusoidal,noise_minus_attack_gap,0.18761110045296206,0.015466338220232263,0.18727498423443836,0.03193518746214989,6,0.00033611621852367807,0.03865135446476578,-0.03146003609067115,0.0321322685277185,-0.04022599268705431,0.04089822512410166,-0.026676543964059034,0.028199806327890136,2,4,0,1.0,-0.051779148662228325,0.05103276766511011
0.9,0.07131455760425807,rope,RoPE,attack_nauc,0.9292792155830053,0.033666499462690395,0.9039804194376053,0.0298570923921282,6,0.02529879614539987,0.04087290706425774,-0.008324894313349991,0.05892248660414973,-0.017594689233988547,0.06819228152478829,0.00016817323285300834,0.05863310006515854,4,2,0,0.1875,-0.010517862747852602,0.10112286223336342
0.9,0.07131455760425807,rope,RoPE,noise_nauc,0.9994384041173748,0.0003692819249366813,0.9992406404837872,0.0007139822422470179,6,0.00019776363358745921,0.0008947705377693269,-0.0005383104495763966,0.000933837716751315,-0.0007412404582765685,0.001136767725451487,-0.00043207484314150557,0.0008575972807821816,3,3,0,0.625,-0.0007640075989384654,0.0013756983550183843
0.9,0.07131455760425807,rope,RoPE,noise_minus_attack_gap,0.07015918853436971,0.03383183528330329,0.09526022104618213,0.02967521495988014,6,-0.02510103251181241,0.04128205984487802,-0.05906130843594855,0.008859243412323723,-0.0684238974013463,0.018221832377721476,-0.059065174908300044,0.00022195645839388303,2,4,0,0.21875,-0.10175779186996448,0.009753855148914137
0.75,0.05942879800354839,learned,Learned,attack_nauc,0.8950644609280803,0.06562960231445615,0.9259658598574649,0.016167450505307848,6,-0.030901398929384444,0.06264178326640125,-0.08243303887420819,0.0206302410154393,-0.09663991883578582,0.03483712097701694,-0.08132735096156885,0.007512255532164096,2,4,0,0.34375,-0.14711619031039846,0.02552098957466209
0.75,0.05942879800354839,learned,Learned,noise_nauc,0.998005781630286,0.0010341664173184218,0.9985550022247888,0.0005700840401594412,6,-0.0005492205945026122,0.0009566242604991975,-0.001336178027449268,0.0002377368384440438,-0.0015531361874596104,0.00045469499845438596,-0.001317796509666606,4.354376543351061e-05,2,4,0,0.1875,-0.0023435505762725573,0.00024646609495149185
0.75,0.05942879800354839,learned,Learned,noise_minus_attack_gap,0.10294132070220564,0.06612100564142148,0.07258914236732382,0.01602404212527307,6,0.030352178334881835,0.06270583785526,-0.02123215548035497,0.08193651215011864,-0.03545356273996679,0.09615791940973047,-0.007817327712318708,0.08082267906305657,3,3,0,0.375,-0.025274523479710598,0.14679125070003307
0.75,0.05942879800354839,sinusoidal,Sinusoidal,attack_nauc,0.8677005466717259,0.013131853157422132,0.8663085470887805,0.021884432243198353,6,0.0013919995829456688,0.027648920689630863,-0.021353110015574533,0.02413710918146587,-0.02762376319341042,0.030407762359301756,-0.01973902832921866,0.020055037896457868,4,2,0,0.90625,-0.03950649654926186,0.039635679796891754
0.75,0.05942879800354839,sinusoidal,Sinusoidal,noise_nauc,0.999273295933837,0.0013163498103228508,0.9991878973813387,0.0007806418512142075,6,8.539855249804311e-05,0.0011682062150306222,-0.0008756146708683519,0.0010464117758644381,-0.0011405586843030839,0.0013113557892991702,-0.0007862668496051994,0.0008835990061923371,3,3,0,0.90625,-0.0017246307893449275,0.0014592795857967245
0.75,0.05942879800354839,sinusoidal,Sinusoidal,noise_minus_attack_gap,0.1315727492621109,0.013178868532869805,0.1328793502925585,0.02217212511545167,6,-0.0013066010304476257,0.02865620549292128,-0.024880343453552427,0.02226714139265718,-0.03137944437890229,0.02876624231800704,-0.020503863475312023,0.02065917988533561,2,4,0,0.96875,-0.04136031058623668,0.040965776135058585
0.75,0.05942879800354839,rope,RoPE,attack_nauc,0.9618007596795298,0.01671650168506277,0.9484592913408815,0.013905097510863534,6,0.013341468338648244,0.018766217507071394,-0.0020963738375233756,0.028779310514819863,-0.00635246913931245,0.03303540581660894,0.0010583753497625155,0.027886694350136226,4,2,0,0.15625,-0.005025645889596531,0.04544029312254649
0.75,0.05942879800354839,rope,RoPE,noise_nauc,0.9995922507433331,0.00039138800763327666,0.9993618787573828,0.0006451352634367602,6,0.00023037198595029137,0.0008236345038348336,-0.0004471827464437205,0.0009079267183443033,-0.0006339794166220288,0.0010947233885226116,-0.000358769946163832,0.0008587911342334276,3,3,0,0.5,-0.0006309329930528351,0.0012894045469240556
0.75,0.05942879800354839,rope,RoPE,noise_minus_attack_gap,0.03779149106380327,0.01690236371622061,0.05090258741650122,0.013641327000086785,6,-0.013111096352697952,0.019145644180892367,-0.028861070108164688,0.0026388774027687866,-0.03320321770489356,0.006981024999497659,-0.02818509494509937,-0.00042804531184679567,2,4,0,0.15625,-0.046001065925344364,0.0043947128965436955
