session,architecture,seed,budget,loss_selected_restart,loss_selected_attack_loss,loss_selected_accuracy,loss_selected_normalized_accuracy,loss_selected_rho_rel,rho_selected_restart,rho_selected_attack_loss,rho_selected_accuracy,rho_selected_normalized_accuracy,rho_selected_rho_rel,same_restart,rho_gain_vs_loss_selected
2,vits,123,0.009,1,3.662278974801302,21.39145496535797,0.27373476172885114,0.08096392208199049,1,3.662278974801302,21.39145496535797,0.27373476172885114,0.08096392208199049,True,0.0
2,vits,123,0.02,0,7.482662972807884,2.107390300230947,0.026967122275581824,0.07123262713848207,1,7.482659921050072,2.107390300230947,0.026967122275581824,0.07124501154450387,False,1.2384406021803684e-05
2,vits,789,0.0095,0,3.839507158100605,18.100461893764436,0.22925045703839125,0.08991900636718105,0,3.839507158100605,18.100461893764436,0.22925045703839125,0.08991900636718105,True,0.0
2,vits,789,0.01,2,4.160414408147335,12.846420323325635,0.16270566727605118,0.09363111155495298,4,4.160244007408619,12.8175519630485,0.1623400365630713,0.09365333085547213,False,2.2219300519155105e-05
2,vits,789,0.009,3,3.4149805165827276,26.125866050808312,0.33089579524680074,0.08500698710516895,3,3.4149805165827276,26.125866050808312,0.33089579524680074,0.08500698710516895,True,0.0
2,vits,789,0.02,1,7.1597532600164415,1.991916859122402,0.025228519195612434,0.06698999732150934,2,7.159732896089554,1.991916859122402,0.025228519195612434,0.06700607484388998,False,1.6077522380641973e-05
2,vits,1213,0.0095,1,4.536555829644203,8.775981524249422,0.1110299488677867,0.08504431150893028,1,4.536555829644203,8.775981524249422,0.1110299488677867,0.08504431150893028,True,0.0
2,vits,1213,0.01,2,4.773137962818145,5.8891454965357966,0.07450693937180423,0.08782970185766295,4,4.77003977894783,5.8891454965357966,0.07450693937180423,0.08808732840183213,False,0.00025762654416917885
2,vits,1213,0.009,1,4.22668654769659,12.846420323325635,0.16252739225712198,0.08021325297871178,0,4.226657636463642,12.846420323325635,0.16252739225712198,0.08021523807195854,False,1.985093246767433e-06
2,vits,1213,0.02,4,7.83360059261322,2.0785219399538106,0.02629656683710738,0.06780755338856381,3,7.833559292554855,2.0785219399538106,0.02629656683710738,0.06780984418998001,False,2.2908014161993062e-06
